,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 7, 7","R: 8, 7","R: 9, 7","R: 10, 7","R: 11, 7","R: 12, 7","R: 13, 7","R: 7, 8","R: 8, 8","R: 9, 8","R: 10, 8","R: 11, 8","R: 12, 8","R: 7, 9","R: 8, 9","R: 9, 9","R: 10, 9","R: 11, 9","R: 7, 10","R: 8, 10","R: 9, 10","R: 10, 10","R: 7, 11","R: 8, 11","R: 9, 11","R: 7, 12","R: 8, 12","R: 7, 13","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 10, 7","MAE: 11, 7","MAE: 12, 7","MAE: 13, 7","MAE: 7, 8","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 11, 8","MAE: 12, 8","MAE: 7, 9","MAE: 8, 9","MAE: 9, 9","MAE: 10, 9","MAE: 11, 9","MAE: 7, 10","MAE: 8, 10","MAE: 9, 10","MAE: 10, 10","MAE: 7, 11","MAE: 8, 11","MAE: 9, 11","MAE: 7, 12","MAE: 8, 12","MAE: 7, 13"
0,1,1.950793832540512,7.012932181358337,1,1.950793832540512,7.012932181358337,0.9990107417106628,0.9988854378461838,0.9991485923528671,0.999168336391449,0.9991054385900497,0.9990027993917465,0.998956099152565,0.9990645498037338,0.999092161655426,0.9990234822034836,0.9989684671163559,0.9990306496620178,0.9989311695098877,0.9989957213401794,0.9990597665309906,0.9992075860500336,0.998991385102272,0.9991973489522934,0.9988389760255814,0.9991246461868286,0.999226987361908,0.9991676658391953,0.9991301894187927,0.9989126771688461,0.9989360868930817,0.9990846067667007,0.9990921914577484,0.9990843236446381,0.05561001691967249,0.05746178515255451,0.05039215926080942,0.05174003541469574,0.05407278332859278,0.05306325573474169,0.05681386590003967,0.055341714061796665,0.04899378214031458,0.057079694233834743,0.055726065300405025,0.05263787508010864,0.05620499886572361,0.054040404967963696,0.04929062910377979,0.04594757966697216,0.055712671019136906,0.0508177001029253,0.06194721348583698,0.053153940476477146,0.04553283751010895,0.05302876327186823,0.05565529316663742,0.05757903307676315,0.05871285032480955,0.05449276138097048,0.054430389776825905,0.054583474062383175
1,2,1.8330810070037842,6.4285619258880615,2,1.9154799848794937,6.837621104717255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1.723019540309906,5.900880575180054,3,1.8577418515086173,6.556598945856095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1.625496119260788,5.417224228382111,4,1.7880681318342684,6.2147865306139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,1.5362964570522308,4.933453619480133,5,1.7125366293996571,5.8303866572737695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1.4560853242874146,4.471271991729736,6,1.6356012378659843,5.42265225761056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,1.3791221976280212,4.007461130619049,7,1.5586575257945954,4.998094919513107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,1.30879345536232,3.579074501991272,8,1.4836983046649128,4.572388794256556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,1.2424835562705994,3.163222551345825,9,1.4113338801466186,4.149638921383336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,1.1774416714906693,2.7831814885139465,10,1.3411662175498338,3.7397016915225194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1.1124270111322403,2.430141508579254,11,1.2725444556245558,3.34683363663954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,1.045971155166626,2.1294750720262527,12,1.2045724654871768,2.981626067255554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,0.9813254773616791,1.8374595046043396,13,1.1375983690495275,2.6383760984601894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,0.9163416475057602,1.5831209868192673,14,1.0712213525863974,2.321799564967913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,0.8516444861888885,1.3533934652805328,15,1.0053482926671449,2.031277735061699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,0.7900435924530029,1.149724267423153,16,0.9407568826029022,1.766811694770135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
