,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 14, 14","R: 15, 14","R: 16, 14","R: 17, 14","R: 18, 14","R: 19, 14","R: 20, 14","R: 21, 14","R: 22, 14","R: 23, 14","R: 24, 14","R: 25, 14","R: 26, 14","R: 14, 15","R: 15, 15","R: 16, 15","R: 17, 15","R: 18, 15","R: 19, 15","R: 20, 15","R: 21, 15","R: 22, 15","R: 23, 15","R: 24, 15","R: 25, 15","R: 14, 16","R: 15, 16","R: 16, 16","R: 17, 16","R: 18, 16","R: 19, 16","R: 20, 16","R: 21, 16","R: 22, 16","R: 23, 16","R: 24, 16","R: 14, 17","R: 15, 17","R: 16, 17","R: 17, 17","R: 18, 17","R: 19, 17","R: 20, 17","R: 21, 17","R: 22, 17","R: 23, 17","R: 14, 18","R: 15, 18","R: 16, 18","R: 17, 18","R: 18, 18","R: 19, 18","R: 20, 18","R: 21, 18","R: 22, 18","R: 14, 19","R: 15, 19","R: 16, 19","R: 17, 19","R: 18, 19","R: 19, 19","R: 20, 19","R: 21, 19","R: 14, 20","R: 15, 20","R: 16, 20","R: 17, 20","R: 18, 20","R: 19, 20","R: 20, 20","R: 14, 21","R: 15, 21","R: 16, 21","R: 17, 21","R: 18, 21","R: 19, 21","R: 14, 22","R: 15, 22","R: 16, 22","R: 17, 22","R: 18, 22","R: 14, 23","R: 15, 23","R: 16, 23","R: 17, 23","R: 14, 24","R: 15, 24","R: 16, 24","R: 14, 25","R: 15, 25","R: 14, 26","MAE: 14, 14","MAE: 15, 14","MAE: 16, 14","MAE: 17, 14","MAE: 18, 14","MAE: 19, 14","MAE: 20, 14","MAE: 21, 14","MAE: 22, 14","MAE: 23, 14","MAE: 24, 14","MAE: 25, 14","MAE: 26, 14","MAE: 14, 15","MAE: 15, 15","MAE: 16, 15","MAE: 17, 15","MAE: 18, 15","MAE: 19, 15","MAE: 20, 15","MAE: 21, 15","MAE: 22, 15","MAE: 23, 15","MAE: 24, 15","MAE: 25, 15","MAE: 14, 16","MAE: 15, 16","MAE: 16, 16","MAE: 17, 16","MAE: 18, 16","MAE: 19, 16","MAE: 20, 16","MAE: 21, 16","MAE: 22, 16","MAE: 23, 16","MAE: 24, 16","MAE: 14, 17","MAE: 15, 17","MAE: 16, 17","MAE: 17, 17","MAE: 18, 17","MAE: 19, 17","MAE: 20, 17","MAE: 21, 17","MAE: 22, 17","MAE: 23, 17","MAE: 14, 18","MAE: 15, 18","MAE: 16, 18","MAE: 17, 18","MAE: 18, 18","MAE: 19, 18","MAE: 20, 18","MAE: 21, 18","MAE: 22, 18","MAE: 14, 19","MAE: 15, 19","MAE: 16, 19","MAE: 17, 19","MAE: 18, 19","MAE: 19, 19","MAE: 20, 19","MAE: 21, 19","MAE: 14, 20","MAE: 15, 20","MAE: 16, 20","MAE: 17, 20","MAE: 18, 20","MAE: 19, 20","MAE: 20, 20","MAE: 14, 21","MAE: 15, 21","MAE: 16, 21","MAE: 17, 21","MAE: 18, 21","MAE: 19, 21","MAE: 14, 22","MAE: 15, 22","MAE: 16, 22","MAE: 17, 22","MAE: 18, 22","MAE: 14, 23","MAE: 15, 23","MAE: 16, 23","MAE: 17, 23","MAE: 14, 24","MAE: 15, 24","MAE: 16, 24","MAE: 14, 25","MAE: 15, 25","MAE: 14, 26"
0,1,1.3395623564720154,3.558821737766266,1,1.3395623564720154,3.558821737766266,0.9985135793685913,0.9985498040914536,0.9983080178499222,0.9985526651144028,0.9984273463487625,0.9983725100755692,0.9983644634485245,0.9984989017248154,0.9986998438835144,0.9986144751310349,0.998431921005249,0.9985808879137039,0.9986172914505005,0.998431071639061,0.9984525889158249,0.9983614385128021,0.9985083341598511,0.9985626488924026,0.9983071982860565,0.9985730201005936,0.9985546320676804,0.9984889775514603,0.9986222833395004,0.9986643195152283,0.9984971284866333,0.9985113590955734,0.9983597099781036,0.9985274076461792,0.9981841742992401,0.9982963651418686,0.9984645992517471,0.9986867159605026,0.9983621537685394,0.9985217452049255,0.9985013157129288,0.9982254207134247,0.9984772056341171,0.9984266459941864,0.9984032660722733,0.9985182285308838,0.9984825104475021,0.9984150379896164,0.9985503405332565,0.9985428303480148,0.9982103556394577,0.9985772371292114,0.9983878582715988,0.9983852654695511,0.9985519647598267,0.9983523935079575,0.9986008256673813,0.9983365833759308,0.9985062032938004,0.9983037859201431,0.9984676092863083,0.9983293563127518,0.9985745549201965,0.9983032792806625,0.9983622878789902,0.9985736012458801,0.9983244836330414,0.99847212433815,0.9985392987728119,0.9982287287712097,0.9985087513923645,0.9986013323068619,0.9983659237623215,0.9984686821699142,0.9985286295413971,0.9985811561346054,0.9984516054391861,0.998611256480217,0.9984836131334305,0.9986554682254791,0.9983185827732086,0.9982729852199554,0.9983795434236526,0.9983972162008286,0.9985266327857971,0.9984553754329681,0.9984215497970581,0.9985963553190231,0.9984930902719498,0.998449832201004,0.9984189569950104,0.9984794110059738,0.9985870718955994,0.9983496814966202,0.9985127002000809,0.9984426200389862,0.9984841793775558,0.07460934109985828,0.07509331963956356,0.07860217802226543,0.0759857464581728,0.07869133353233337,0.07842707075178623,0.0782283078879118,0.0744984932243824,0.07286203280091286,0.07330012135207653,0.0780055820941925,0.07665159273892641,0.07147238031029701,0.07654358632862568,0.07993991859257221,0.07469804678112268,0.07635662704706192,0.07306665927171707,0.08133485727012157,0.07536612264811993,0.0732843391597271,0.07438273541629314,0.07567084394395351,0.07407313957810402,0.07787066698074341,0.07786908932030201,0.07817376963794231,0.077037638053298,0.08156359009444714,0.07823049835860729,0.07150707207620144,0.06889334414154291,0.07962439395487309,0.07578951306641102,0.07481963001191616,0.07899891212582588,0.07397658936679363,0.07676182314753532,0.08220208063721657,0.07775906659662724,0.07818548008799553,0.08061755262315273,0.07440120354294777,0.07451441138982773,0.08281812071800232,0.07441156543791294,0.07763757929205894,0.08075210265815258,0.07738061994314194,0.0772504210472107,0.07373802363872528,0.07968338020145893,0.07709583267569542,0.07686743699014187,0.07624668627977371,0.08017504215240479,0.07425015419721603,0.07981171272695065,0.08073262870311737,0.08066029846668243,0.08039287477731705,0.07744077034294605,0.07563603110611439,0.0820610448718071,0.0756575409322977,0.07390687055885792,0.07703905552625656,0.07875600643455982,0.0776069350540638,0.07529492117464542,0.07357623428106308,0.07595077529549599,0.07506313547492027,0.07227260433137417,0.08416880667209625,0.07638064585626125,0.07730842381715775,0.08365628309547901,0.0779648870229721,0.07750563323497772,0.07581031881272793,0.07749201729893684,0.07706165313720703,0.08404559642076492,0.07603195495903492,0.08116232790052891,0.07637030072510242,0.08082547783851624,0.07374576851725578,0.07627011835575104,0.0771205797791481
1,2,0.9694195687770844,2.0414527356624603,2,1.2285195201635362,3.103611037135124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0.6906678751111031,1.1148919612169266,3,1.0671640266478062,2.506995314359665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0.47651439905166626,0.4987087920308113,4,0.8899691383689642,1.9045093576610088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,0.3507855013012886,0.24452532455325127,5,0.7282140472486616,1.4065141477286816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,0.28808484971523285,0.168533593416214,6,0.596175287988633,1.0351199814349412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,0.25678644329309464,0.12763988599181175,7,0.4943586345799714,0.7628759528020024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,0.23910658806562424,0.10369024146348238,8,0.4177830206256673,0.5651202394004464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,0.21314559504389763,0.08126247022300959,9,0.3563917929511364,0.4199629086472153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,0.18963366001844406,0.06388993188738823,10,0.3063643530713287,0.31314101561926716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
