,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 15, 15","R: 16, 15","R: 17, 15","R: 18, 15","R: 19, 15","R: 20, 15","R: 21, 15","R: 22, 15","R: 23, 15","R: 24, 15","R: 25, 15","R: 26, 15","R: 27, 15","R: 28, 15","R: 29, 15","R: 30, 15","R: 31, 15","R: 32, 15","R: 33, 15","R: 15, 16","R: 16, 16","R: 17, 16","R: 18, 16","R: 19, 16","R: 20, 16","R: 21, 16","R: 22, 16","R: 23, 16","R: 24, 16","R: 25, 16","R: 26, 16","R: 27, 16","R: 28, 16","R: 29, 16","R: 30, 16","R: 31, 16","R: 32, 16","R: 15, 17","R: 16, 17","R: 17, 17","R: 18, 17","R: 19, 17","R: 20, 17","R: 21, 17","R: 22, 17","R: 23, 17","R: 24, 17","R: 25, 17","R: 26, 17","R: 27, 17","R: 28, 17","R: 29, 17","R: 30, 17","R: 31, 17","R: 15, 18","R: 16, 18","R: 17, 18","R: 18, 18","R: 19, 18","R: 20, 18","R: 21, 18","R: 22, 18","R: 23, 18","R: 24, 18","R: 25, 18","R: 26, 18","R: 27, 18","R: 28, 18","R: 29, 18","R: 30, 18","R: 15, 19","R: 16, 19","R: 17, 19","R: 18, 19","R: 19, 19","R: 20, 19","R: 21, 19","R: 22, 19","R: 23, 19","R: 24, 19","R: 25, 19","R: 26, 19","R: 27, 19","R: 28, 19","R: 29, 19","R: 15, 20","R: 16, 20","R: 17, 20","R: 18, 20","R: 19, 20","R: 20, 20","R: 21, 20","R: 22, 20","R: 23, 20","R: 24, 20","R: 25, 20","R: 26, 20","R: 27, 20","R: 28, 20","R: 15, 21","R: 16, 21","R: 17, 21","R: 18, 21","R: 19, 21","R: 20, 21","R: 21, 21","R: 22, 21","R: 23, 21","R: 24, 21","R: 25, 21","R: 26, 21","R: 27, 21","R: 15, 22","R: 16, 22","R: 17, 22","R: 18, 22","R: 19, 22","R: 20, 22","R: 21, 22","R: 22, 22","R: 23, 22","R: 24, 22","R: 25, 22","R: 26, 22","R: 15, 23","R: 16, 23","R: 17, 23","R: 18, 23","R: 19, 23","R: 20, 23","R: 21, 23","R: 22, 23","R: 23, 23","R: 24, 23","R: 25, 23","R: 15, 24","R: 16, 24","R: 17, 24","R: 18, 24","R: 19, 24","R: 20, 24","R: 21, 24","R: 22, 24","R: 23, 24","R: 24, 24","R: 15, 25","R: 16, 25","R: 17, 25","R: 18, 25","R: 19, 25","R: 20, 25","R: 21, 25","R: 22, 25","R: 23, 25","R: 15, 26","R: 16, 26","R: 17, 26","R: 18, 26","R: 19, 26","R: 20, 26","R: 21, 26","R: 22, 26","R: 15, 27","R: 16, 27","R: 17, 27","R: 18, 27","R: 19, 27","R: 20, 27","R: 21, 27","R: 15, 28","R: 16, 28","R: 17, 28","R: 18, 28","R: 19, 28","R: 20, 28","R: 15, 29","R: 16, 29","R: 17, 29","R: 18, 29","R: 19, 29","R: 15, 30","R: 16, 30","R: 17, 30","R: 18, 30","R: 15, 31","R: 16, 31","R: 17, 31","R: 15, 32","R: 16, 32","R: 15, 33","MAE: 15, 15","MAE: 16, 15","MAE: 17, 15","MAE: 18, 15","MAE: 19, 15","MAE: 20, 15","MAE: 21, 15","MAE: 22, 15","MAE: 23, 15","MAE: 24, 15","MAE: 25, 15","MAE: 26, 15","MAE: 27, 15","MAE: 28, 15","MAE: 29, 15","MAE: 30, 15","MAE: 31, 15","MAE: 32, 15","MAE: 33, 15","MAE: 15, 16","MAE: 16, 16","MAE: 17, 16","MAE: 18, 16","MAE: 19, 16","MAE: 20, 16","MAE: 21, 16","MAE: 22, 16","MAE: 23, 16","MAE: 24, 16","MAE: 25, 16","MAE: 26, 16","MAE: 27, 16","MAE: 28, 16","MAE: 29, 16","MAE: 30, 16","MAE: 31, 16","MAE: 32, 16","MAE: 15, 17","MAE: 16, 17","MAE: 17, 17","MAE: 18, 17","MAE: 19, 17","MAE: 20, 17","MAE: 21, 17","MAE: 22, 17","MAE: 23, 17","MAE: 24, 17","MAE: 25, 17","MAE: 26, 17","MAE: 27, 17","MAE: 28, 17","MAE: 29, 17","MAE: 30, 17","MAE: 31, 17","MAE: 15, 18","MAE: 16, 18","MAE: 17, 18","MAE: 18, 18","MAE: 19, 18","MAE: 20, 18","MAE: 21, 18","MAE: 22, 18","MAE: 23, 18","MAE: 24, 18","MAE: 25, 18","MAE: 26, 18","MAE: 27, 18","MAE: 28, 18","MAE: 29, 18","MAE: 30, 18","MAE: 15, 19","MAE: 16, 19","MAE: 17, 19","MAE: 18, 19","MAE: 19, 19","MAE: 20, 19","MAE: 21, 19","MAE: 22, 19","MAE: 23, 19","MAE: 24, 19","MAE: 25, 19","MAE: 26, 19","MAE: 27, 19","MAE: 28, 19","MAE: 29, 19","MAE: 15, 20","MAE: 16, 20","MAE: 17, 20","MAE: 18, 20","MAE: 19, 20","MAE: 20, 20","MAE: 21, 20","MAE: 22, 20","MAE: 23, 20","MAE: 24, 20","MAE: 25, 20","MAE: 26, 20","MAE: 27, 20","MAE: 28, 20","MAE: 15, 21","MAE: 16, 21","MAE: 17, 21","MAE: 18, 21","MAE: 19, 21","MAE: 20, 21","MAE: 21, 21","MAE: 22, 21","MAE: 23, 21","MAE: 24, 21","MAE: 25, 21","MAE: 26, 21","MAE: 27, 21","MAE: 15, 22","MAE: 16, 22","MAE: 17, 22","MAE: 18, 22","MAE: 19, 22","MAE: 20, 22","MAE: 21, 22","MAE: 22, 22","MAE: 23, 22","MAE: 24, 22","MAE: 25, 22","MAE: 26, 22","MAE: 15, 23","MAE: 16, 23","MAE: 17, 23","MAE: 18, 23","MAE: 19, 23","MAE: 20, 23","MAE: 21, 23","MAE: 22, 23","MAE: 23, 23","MAE: 24, 23","MAE: 25, 23","MAE: 15, 24","MAE: 16, 24","MAE: 17, 24","MAE: 18, 24","MAE: 19, 24","MAE: 20, 24","MAE: 21, 24","MAE: 22, 24","MAE: 23, 24","MAE: 24, 24","MAE: 15, 25","MAE: 16, 25","MAE: 17, 25","MAE: 18, 25","MAE: 19, 25","MAE: 20, 25","MAE: 21, 25","MAE: 22, 25","MAE: 23, 25","MAE: 15, 26","MAE: 16, 26","MAE: 17, 26","MAE: 18, 26","MAE: 19, 26","MAE: 20, 26","MAE: 21, 26","MAE: 22, 26","MAE: 15, 27","MAE: 16, 27","MAE: 17, 27","MAE: 18, 27","MAE: 19, 27","MAE: 20, 27","MAE: 21, 27","MAE: 15, 28","MAE: 16, 28","MAE: 17, 28","MAE: 18, 28","MAE: 19, 28","MAE: 20, 28","MAE: 15, 29","MAE: 16, 29","MAE: 17, 29","MAE: 18, 29","MAE: 19, 29","MAE: 15, 30","MAE: 16, 30","MAE: 17, 30","MAE: 18, 30","MAE: 15, 31","MAE: 16, 31","MAE: 17, 31","MAE: 15, 32","MAE: 16, 32","MAE: 15, 33"
0,1,1.3370268940925598,3.8165141940116882,1,1.3370268940925598,3.8165141940116882,0.9993393123149872,0.999232143163681,0.9993342310190201,0.999177023768425,0.9993368238210678,0.9992648810148239,0.9991119503974915,0.9993756860494614,0.9992229789495468,0.9993142485618591,0.9992529451847076,0.999311700463295,0.9993490278720856,0.999371811747551,0.9993036687374115,0.9993114918470383,0.9993588924407959,0.9993653148412704,0.9992446899414062,0.9992108196020126,0.999382346868515,0.999330535531044,0.9992040395736694,0.9992359429597855,0.9991942346096039,0.9992663115262985,0.9992707967758179,0.9992714822292328,0.9993149042129517,0.9994143843650818,0.99930140376091,0.9993395209312439,0.9993792176246643,0.9993274062871933,0.9992876499891281,0.9993952661752701,0.9993329793214798,0.999308705329895,0.9991890043020248,0.9993025809526443,0.9993452429771423,0.9993665218353271,0.9993616491556168,0.9993897974491119,0.999382346868515,0.9993618428707123,0.9993661642074585,0.9992664307355881,0.9992969483137131,0.9992632567882538,0.9992706030607224,0.9993080496788025,0.999385878443718,0.9993582516908646,0.9993405789136887,0.9993361830711365,0.9993775337934494,0.999294713139534,0.999335303902626,0.9993869960308075,0.9993535429239273,0.9991496205329895,0.9993326216936111,0.9993574768304825,0.9992788285017014,0.9991752058267593,0.999348595738411,0.9992394149303436,0.9993210285902023,0.9993325024843216,0.9992455244064331,0.9992273151874542,0.9992928951978683,0.9993652850389481,0.9994090050458908,0.9992751926183701,0.999245896935463,0.9993331283330917,0.9992470294237137,0.9993084222078323,0.9993235766887665,0.9992910623550415,0.9993736296892166,0.9992999285459518,0.9993766993284225,0.9991714954376221,0.9992747008800507,0.999276340007782,0.9993196129798889,0.9993809312582016,0.9993239939212799,0.9993784129619598,0.9993259757757187,0.9992480427026749,0.9993055462837219,0.9993234872817993,0.9993557333946228,0.9992405027151108,0.9992590695619583,0.9992574602365494,0.9991829693317413,0.9992826133966446,0.9992750138044357,0.9993134140968323,0.9992566704750061,0.9993918687105179,0.9993905425071716,0.9994002282619476,0.999314621090889,0.999330684542656,0.9992175549268723,0.9994289129972458,0.9993666261434555,0.9993564486503601,0.9992866069078445,0.9992842525243759,0.9992426484823227,0.9992815256118774,0.999238982796669,0.9993855506181717,0.9992843568325043,0.9992397576570511,0.9993694424629211,0.9993019104003906,0.9993236362934113,0.9992593973875046,0.9993162155151367,0.9992765188217163,0.9993568509817123,0.9993634223937988,0.9993262737989426,0.9993253499269485,0.999263733625412,0.9992961436510086,0.9993175119161606,0.9992599934339523,0.9992426931858063,0.9993393272161484,0.99939826130867,0.999348372220993,0.9992140680551529,0.9992978423833847,0.9993464201688766,0.9992698282003403,0.9993657320737839,0.99936543405056,0.9993842840194702,0.9992543160915375,0.9993288367986679,0.9993031024932861,0.9994536191225052,0.9993195533752441,0.9993000328540802,0.999339371919632,0.999330148100853,0.999341681599617,0.9994141608476639,0.9993570894002914,0.9994447976350784,0.9993435144424438,0.9991416931152344,0.9993118792772293,0.9992757141590118,0.9992179423570633,0.9993658363819122,0.9994363039731979,0.9991227835416794,0.9993259012699127,0.9993284493684769,0.9993367195129395,0.9993217289447784,0.9992916136980057,0.9993525743484497,0.9993150234222412,0.9993326961994171,0.9993515312671661,0.9992442429065704,0.9993063062429428,0.9993276745080948,0.9993308186531067,0.9993076324462891,0.9992422461509705,0.9992593377828598,0.9993285238742828,0.9992901086807251,0.999343991279602,0.9992866367101669,0.9992346465587616,0.9993575662374496,0.9994566738605499,0.04519163258373737,0.04509974177926779,0.03703604079782963,0.045831392519176006,0.04404279962182045,0.04403552878648043,0.04795714933425188,0.04274796228855848,0.04348827712237835,0.05082513298839331,0.04570139106363058,0.0431409515440464,0.041137997061014175,0.03965969383716583,0.049100068397819996,0.04063856415450573,0.04110928066074848,0.038284906186163425,0.04604537412524223,0.05136056989431381,0.04435277171432972,0.044389632530510426,0.048330772668123245,0.049673788249492645,0.04809885658323765,0.04251382686197758,0.05056625138968229,0.04523104429244995,0.05052573047578335,0.04858799744397402,0.04347879718989134,0.045697130262851715,0.043564505875110626,0.042869385331869125,0.04885503090918064,0.03902593068778515,0.04381880722939968,0.043714783154428005,0.04688179213553667,0.047143793664872646,0.045931385830044746,0.042349941562861204,0.041057659313082695,0.04306004475802183,0.037832058034837246,0.0369145143777132,0.0508726155385375,0.04029516875743866,0.04300933051854372,0.04400579631328583,0.04960435628890991,0.047207484021782875,0.044360517989844084,0.04804055951535702,0.037836517207324505,0.04647345747798681,0.03833500389009714,0.043498069513589144,0.04304474592208862,0.03874239232391119,0.03925552312284708,0.056501795537769794,0.04350109491497278,0.0440772520378232,0.0447949580848217,0.04371384531259537,0.04104211088269949,0.04826159030199051,0.0394154554232955,0.041292838752269745,0.04793955571949482,0.04751364700496197,0.037869771011173725,0.03922306513413787,0.03597047319635749,0.043577599339187145,0.04852972086519003,0.05233661085367203,0.050670296885073185,0.05228215176612139,0.043906381353735924,0.042853374034166336,0.04584468808025122,0.04820725880563259,0.05079273506999016,0.04585749935358763,0.040677512995898724,0.045983199030160904,0.041152010671794415,0.04157434590160847,0.04364834073930979,0.04383584298193455,0.048899007961153984,0.046331978403031826,0.04719783831387758,0.045615038834512234,0.04039031080901623,0.04864227678626776,0.053451182320714,0.04875185340642929,0.05390889476984739,0.05296495743095875,0.04149481654167175,0.0404070969671011,0.042906210757791996,0.03879104275256395,0.04051804495975375,0.0392450550571084,0.047477261163294315,0.04346691817045212,0.0477271992713213,0.037030418403446674,0.050287432968616486,0.04081570729613304,0.04563482105731964,0.04145160224288702,0.04293479584157467,0.04198818281292915,0.04741275869309902,0.04484349489212036,0.04692140128463507,0.04271443001925945,0.040332188829779625,0.04383847489953041,0.040551550686359406,0.04852685984224081,0.045874535106122494,0.06123440060764551,0.04743739124387503,0.04386823624372482,0.04277914669364691,0.04270117823034525,0.03959212079644203,0.045878651551902294,0.04438806138932705,0.04084121063351631,0.04536002781242132,0.039596278220415115,0.040817239321768284,0.04769283439964056,0.048853361047804356,0.05617626663297415,0.05104357469826937,0.04764613974839449,0.0390178095549345,0.04761284589767456,0.04246150050312281,0.04541656840592623,0.049504298716783524,0.04098081588745117,0.038053310476243496,0.04528150614351034,0.046292154118418694,0.045159091241657734,0.04160580411553383,0.04135306179523468,0.04094742238521576,0.04413793422281742,0.039768106769770384,0.04436858929693699,0.044421796686947346,0.04143794160336256,0.04370695911347866,0.05129097122699022,0.03731670044362545,0.04268086049705744,0.05107477493584156,0.05331691354513168,0.04386318940669298,0.053266335278749466,0.046116636134684086,0.043678442016243935,0.04117797315120697,0.04238801170140505,0.04014074895530939,0.0404224400408566,0.04481801949441433,0.04596206545829773,0.045349908992648125,0.04090494755655527,0.046497080475091934,0.03867056593298912,0.04292173683643341,0.05076290760189295,0.04216338414698839,0.039974301122128963,0.04650224093347788,0.047021311707794666,0.04549957346171141,0.03862401191145182
1,2,0.9554761946201324,2.0340674221515656,2,1.2225616842508316,3.281780162453651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0.6972384005784988,1.0188174545764923,3,1.0649646991491317,2.602891350090503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0.5013309195637703,0.4866434186697006,4,0.8958745652735232,1.9680169706642623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,0.3633467108011246,0.24384554661810398,5,0.7361162089318035,1.4507655434504145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,0.2612201049923897,0.12026127334684134,6,0.5936473777499793,1.0516142624193425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,0.19837909564375877,0.06930882576853037,7,0.4750668931181132,0.7569226314240989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,0.16626956686377525,0.04832583852112293,8,0.38242769524181175,0.544343593553206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,0.14251182600855827,0.03552534058690071,9,0.31045293447183564,0.3916981176633144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,0.12174489349126816,0.025253876578062773,10,0.2538405221776654,0.28176484533773893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
