Time,Current,pH,Temperature,Rinse,Concentration
0,-3.09372,6.4,24,1,0.9
1,-2.03133,6.4,24,1,0.9
2,-1.90639,6.4,24,1,0.9
3,-1.71876,6.4,24,1,0.9
4,-1.34373,6.4,24,1,0.9
5,-1.1344,6.4,24,1,0.9
6,-1.04065,6.4,24,1,0.9
7,-0.971889,6.4,24,1,0.9
8,-0.9094,6.4,24,1,0.9
9,-0.86565,6.4,24,1,0.9
10,-0.81345,6.4,24,1,0.9
11,-0.776575,6.4,24,1,0.9
12,-0.744699,6.4,24,1,0.9
13,-0.716574,6.4,24,1,0.9
14,-0.691574,6.4,24,1,0.9
15,-0.668448,6.4,24,1,0.9
16,-0.647823,6.4,24,1,0.9
17,-0.629072,6.4,24,1,0.9
18,-0.611572,6.4,24,1,0.9
19,-0.595322,6.4,24,1,0.9
20,-0.580946,6.4,24,1,0.9
21,-0.567197,6.4,24,1,0.9
22,-0.554072,6.4,24,1,0.9
23,-0.542196,6.4,24,1,0.9
24,-0.531571,6.4,24,1,0.9
25,-0.520946,6.4,24,1,0.9
26,-0.51157,6.4,24,1,0.9
27,-0.502195,6.4,24,1,0.9
28,-0.493445,6.4,24,1,0.9
29,-0.48532,6.4,24,1,0.9
30,-0.477195,6.4,24,1,0.9
31,-0.470319,6.4,24,1,0.9
32,-0.462821,6.4,24,1,0.9
33,-0.455945,6.4,24,1,0.9
34,-0.449696,6.4,24,1,0.9
35,-0.444069,6.4,24,1,0.9
36,-0.43782,6.4,24,1,0.9
37,-0.432193,6.4,24,1,0.9
38,-0.427194,6.4,24,1,0.9
39,-0.421569,6.4,24,1,0.9
40,-0.417194,6.4,24,1,0.9
41,-0.412195,6.4,24,1,0.9
42,-0.40782,6.4,24,1,0.9
43,-0.403445,6.4,24,1,0.9
44,-0.399694,6.4,24,1,0.9
45,-0.393537,6.4,24,1,0.9
46,-0.389537,6.4,24,1,0.9
47,-0.385662,6.4,24,1,0.9
48,-0.381975,6.4,24,1,0.9
49,-0.378412,6.4,24,1,0.9
50,-0.374974,6.4,24,1,0.9
0,-2.03133,7.04,30,1,0.8
1,-1.78123,7.04,30,1,0.8
2,-1.28126,7.04,30,1,0.8
3,-1.0314,7.04,30,1,0.8
4,-0.968695,7.04,30,1,0.8
5,-0.85938,7.04,30,1,0.8
6,-0.79689,7.04,30,1,0.8
7,-0.75314,7.04,30,1,0.8
8,-0.715637,7.04,30,1,0.8
9,-0.684381,7.04,30,1,0.8
10,-0.647823,7.04,30,1,0.8
11,-0.622197,7.04,30,1,0.8
12,-0.598447,7.04,30,1,0.8
13,-0.577822,7.04,30,1,0.8
14,-0.558447,7.04,30,1,0.8
15,-0.540321,7.04,30,1,0.8
16,-0.52407,7.04,30,1,0.8
17,-0.50907,7.04,30,1,0.8
18,-0.495945,7.04,30,1,0.8
19,-0.48282,7.04,30,1,0.8
20,-0.47157,7.04,30,1,0.8
21,-0.46032,7.04,30,1,0.8
22,-0.45032,7.04,30,1,0.8
23,-0.440943,7.04,30,1,0.8
24,-0.43282,7.04,30,1,0.8
25,-0.424695,7.04,30,1,0.8
26,-0.415975,7.04,30,1,0.8
27,-0.408975,7.04,30,1,0.8
28,-0.402537,7.04,30,1,0.8
29,-0.396537,7.04,30,1,0.8
30,-0.391037,7.04,30,1,0.8
31,-0.385912,7.04,30,1,0.8
32,-0.381225,7.04,30,1,0.8
33,-0.377037,7.04,30,1,0.8
34,-0.373349,7.04,30,1,0.8
35,-0.370162,7.04,30,1,0.8
36,-0.367412,7.04,30,1,0.8
37,-0.365412,7.04,30,1,0.8
38,-0.363849,7.04,30,1,0.8
39,-0.363037,7.04,30,1,0.8
40,-0.362787,7.04,30,1,0.8
41,-0.363099,7.04,30,1,0.8
42,-0.364099,7.04,30,1,0.8
43,-0.365537,7.04,30,1,0.8
44,-0.367412,7.04,30,1,0.8
45,-0.369537,7.04,30,1,0.8
46,-0.371849,7.04,30,1,0.8
47,-0.374225,7.04,30,1,0.8
48,-0.3766,7.04,30,1,0.8
49,-0.378975,7.04,30,1,0.8
50,-0.381037,7.04,30,1,0.8
0,-1.34,7.4,24,0,0.81
0,-1.16,7.4,24,0,0.81
0,-1.09,7.4,24,0,0.81
0,-3.03,7.4,24,0,1.6
0,-2.97,7.4,24,0,1.6
0,-2.91,7.4,24,0,1.6
0,-3.97,7.4,24,0,2.2
0,-3.91,7.4,24,0,2.2
0,-3.91,7.4,24,0,2.2
0,-8.03,7.4,24,0,3.93
0,-7.53,7.4,24,0,3.93
0,-7.03,7.4,24,0,3.93
0,-10.2,7.4,24,0,4.85
0,-9.59,7.4,24,0,4.85
0,-8.97,7.4,24,0,4.85
0,-2.91,7.4,24,0,0.85
0,-2.22,7.4,24,0,0.85
0,-2.03,7.4,24,0,0.85
0,-3.34,7.4,24,0,1.13
0,-3.03,7.4,24,0,1.13
0,-2.97,7.4,24,0,1.13
0,-5.91,7.4,24,0,2.03
0,-5.91,7.4,24,0,2.03
0,-5.91,7.4,24,0,2.03
0,-11.2,7.4,24,0,4
0,-10.8,7.4,24,0,4
0,-10.8,7.4,24,0,4
0,-16.3,7.4,24,0,5.64
0,-16,7.4,24,0,5.64
0,-15.8,7.4,24,0,5.64
1,-0.969,7.4,24,0,0.81
1,-0.969,7.4,24,0,0.81
1,-0.906,7.4,24,0,0.81
1,-2.22,7.4,24,0,1.6
1,-2.03,7.4,24,0,1.6
1,-2.03,7.4,24,0,1.6
1,-2.97,7.4,24,0,2.2
1,-2.91,7.4,24,0,2.2
1,-2.91,7.4,24,0,2.2
1,-5.91,7.4,24,0,3.93
1,-5.41,7.4,24,0,3.93
1,-5.03,7.4,24,0,3.93
1,-7.41,7.4,24,0,4.85
1,-6.91,7.4,24,0,4.85
1,-6.59,7.4,24,0,4.85
1,-1.91,7.4,24,0,0.85
1,-1.72,7.4,24,0,0.85
1,-1.53,7.4,24,0,0.85
1,-2.16,7.4,24,0,1.13
1,-2.03,7.4,24,0,1.13
1,-1.97,7.4,24,0,1.13
1,-3.97,7.4,24,0,2.03
1,-3.97,7.4,24,0,2.03
1,-3.97,7.4,24,0,2.03
1,-7.91,7.4,24,0,4
1,-7.72,7.4,24,0,4
1,-7.78,7.4,24,0,4
1,-11.6,7.4,24,0,5.64
1,-11.3,7.4,24,0,5.64
1,-11.2,7.4,24,0,5.64
2,-0.906,7.4,24,0,0.81
2,-0.906,7.4,24,0,0.81
2,-0.906,7.4,24,0,0.81
2,-1.97,7.4,24,0,1.6
2,-1.91,7.4,24,0,1.6
2,-1.91,7.4,24,0,1.6
2,-2.72,7.4,24,0,2.2
2,-2.53,7.4,24,0,2.2
2,-2.47,7.4,24,0,2.2
2,-4.91,7.4,24,0,3.93
2,-4.53,7.4,24,0,3.93
2,-4.09,7.4,24,0,3.93
2,-5.97,7.4,24,0,4.85
2,-5.84,7.4,24,0,4.85
2,-5.34,7.4,24,0,4.85
2,-1.34,7.4,24,0,0.85
2,-1.16,7.4,24,0,0.85
2,-1.09,7.4,24,0,0.85
2,-1.91,7.4,24,0,1.13
2,-1.91,7.4,24,0,1.13
2,-1.84,7.4,24,0,1.13
2,-3.16,7.4,24,0,2.03
2,-3.16,7.4,24,0,2.03
2,-3.09,7.4,24,0,2.03
2,-6.34,7.4,24,0,4
2,-6.03,7.4,24,0,4
2,-6.03,7.4,24,0,4
2,-9.41,7.4,24,0,5.64
2,-9.16,7.4,24,0,5.64
2,-9.09,7.4,24,0,5.64
3,-0.906,7.4,24,0,0.81
3,-0.906,7.4,24,0,0.81
3,-0.906,7.4,24,0,0.81
3,-1.91,7.4,24,0,1.6
3,-1.84,7.4,24,0,1.6
3,-1.84,7.4,24,0,1.6
3,-2.09,7.4,24,0,2.2
3,-2.03,7.4,24,0,2.2
3,-1.97,7.4,24,0,2.2
3,-4.03,7.4,24,0,3.93
3,-3.91,7.4,24,0,3.93
3,-3.84,7.4,24,0,3.93
3,-5.34,7.4,24,0,4.85
3,-4.97,7.4,24,0,4.85
3,-4.91,7.4,24,0,4.85
3,-1.03,7.4,24,0,0.85
3,-0.969,7.4,24,0,0.85
3,-0.969,7.4,24,0,0.85
3,-1.72,7.4,24,0,1.13
3,-1.59,7.4,24,0,1.13
3,-1.53,7.4,24,0,1.13
3,-2.91,7.4,24,0,2.03
3,-2.91,7.4,24,0,2.03
3,-2.91,7.4,24,0,2.03
3,-5.59,7.4,24,0,4
3,-5.34,7.4,24,0,4
3,-5.28,7.4,24,0,4
3,-8.03,7.4,24,0,5.64
3,-7.97,7.4,24,0,5.64
3,-7.97,7.4,24,0,5.64
4,-0.906,7.4,24,0,0.81
4,-0.906,7.4,24,0,0.81
4,-0.906,7.4,24,0,0.81
4,-1.78,7.4,24,0,1.6
4,-1.72,7.4,24,0,1.6
4,-1.66,7.4,24,0,1.6
4,-1.97,7.4,24,0,2.2
4,-1.97,7.4,24,0,2.2
4,-1.91,7.4,24,0,2.2
4,-3.84,7.4,24,0,3.93
4,-3.66,7.4,24,0,3.93
4,-3.28,7.4,24,0,3.93
4,-4.91,7.4,24,0,4.85
4,-4.66,7.4,24,0,4.85
4,-4.16,7.4,24,0,4.85
4,-0.969,7.4,24,0,0.85
4,-0.906,7.4,24,0,0.85
4,-0.906,7.4,24,0,0.85
4,-1.34,7.4,24,0,1.13
4,-1.28,7.4,24,0,1.13
4,-1.22,7.4,24,0,1.13
4,-2.66,7.4,24,0,2.03
4,-2.72,7.4,24,0,2.03
4,-2.59,7.4,24,0,2.03
4,-4.91,7.4,24,0,4
4,-4.91,7.4,24,0,4
4,-4.91,7.4,24,0,4
4,-7.16,7.4,24,0,5.64
4,-7.09,7.4,24,0,5.64
4,-7.03,7.4,24,0,5.64
5,-0.572,7.4,24,0,0.81
5,-0.547,7.4,24,0,0.81
5,-0.522,7.4,24,0,0.81
5,-1.36,7.4,24,0,1.6
5,-1.33,7.4,24,0,1.6
5,-1.31,7.4,24,0,1.6
5,-1.77,7.4,24,0,2.2
5,-1.7,7.4,24,0,2.2
5,-1.68,7.4,24,0,2.2
5,-3.25,7.4,24,0,3.93
5,-3.08,7.4,24,0,3.93
5,-2.92,7.4,24,0,3.93
5,-4.3,7.4,24,0,4.85
5,-3.98,7.4,24,0,4.85
5,-3.77,7.4,24,0,4.85
5,-0.803,7.4,24,0,0.85
5,-0.747,7.4,24,0,0.85
5,-0.722,7.4,24,0,0.85
5,-1.14,7.4,24,0,1.13
5,-1.09,7.4,24,0,1.13
5,-1.07,7.4,24,0,1.13
5,-2.18,7.4,24,0,2.03
5,-2.19,7.4,24,0,2.03
5,-2.15,7.4,24,0,2.03
5,-4.34,7.4,24,0,4
5,-4.24,7.4,24,0,4
5,-4.21,7.4,24,0,4
5,-6.48,7.4,24,0,5.64
5,-6.42,7.4,24,0,5.64
5,-6.36,7.4,24,0,5.64
6,-0.522,7.4,24,0,0.81
6,-0.503,7.4,24,0,0.81
6,-0.491,7.4,24,0,0.81
6,-1.27,7.4,24,0,1.6
6,-1.25,7.4,24,0,1.6
6,-1.23,7.4,24,0,1.6
6,-1.65,7.4,24,0,2.2
6,-1.59,7.4,24,0,2.2
6,-1.57,7.4,24,0,2.2
6,-3.01,7.4,24,0,3.93
6,-2.86,7.4,24,0,3.93
6,-2.7,7.4,24,0,3.93
6,-3.99,7.4,24,0,4.85
6,-3.7,7.4,24,0,4.85
6,-3.5,7.4,24,0,4.85
6,-0.734,7.4,24,0,0.85
6,-0.684,7.4,24,0,0.85
6,-0.659,7.4,24,0,0.85
6,-1.04,7.4,24,0,1.13
6,-1,7.4,24,0,1.13
6,-0.978,7.4,24,0,1.13
6,-2,7.4,24,0,2.03
6,-2.02,7.4,24,0,2.03
6,-1.98,7.4,24,0,2.03
6,-4,7.4,24,0,4
6,-3.92,7.4,24,0,4
6,-3.88,7.4,24,0,4
6,-5.98,7.4,24,0,5.64
6,-5.93,7.4,24,0,5.64
6,-5.88,7.4,24,0,5.64
7,-0.497,7.4,24,0,0.81
7,-0.491,7.4,24,0,0.81
7,-0.472,7.4,24,0,0.81
7,-1.2,7.4,24,0,1.6
7,-1.18,7.4,24,0,1.6
7,-1.17,7.4,24,0,1.6
7,-1.55,7.4,24,0,2.2
7,-1.5,7.4,24,0,2.2
7,-1.48,7.4,24,0,2.2
7,-2.82,7.4,24,0,3.93
7,-2.68,7.4,24,0,3.93
7,-2.53,7.4,24,0,3.93
7,-3.74,7.4,24,0,4.85
7,-3.47,7.4,24,0,4.85
7,-3.28,7.4,24,0,4.85
7,-0.678,7.4,24,0,0.85
7,-0.634,7.4,24,0,0.85
7,-0.616,7.4,24,0,0.85
7,-0.959,7.4,24,0,1.13
7,-0.941,7.4,24,0,1.13
7,-0.916,7.4,24,0,1.13
7,-1.88,7.4,24,0,2.03
7,-1.88,7.4,24,0,2.03
7,-1.85,7.4,24,0,2.03
7,-3.73,7.4,24,0,4
7,-3.66,7.4,24,0,4
7,-3.63,7.4,24,0,4
7,-5.58,7.4,24,0,5.64
7,-5.53,7.4,24,0,5.64
7,-5.5,7.4,24,0,5.64
8,-0.478,7.4,24,0,0.81
8,-0.466,7.4,24,0,0.81
8,-0.447,7.4,24,0,0.81
8,-1.15,7.4,24,0,1.6
8,-1.13,7.4,24,0,1.6
8,-1.1,7.4,24,0,1.6
8,-1.47,7.4,24,0,2.2
8,-1.43,7.4,24,0,2.2
8,-1.4,7.4,24,0,2.2
8,-2.67,7.4,24,0,3.93
8,-2.52,7.4,24,0,3.93
8,-2.39,7.4,24,0,3.93
8,-3.53,7.4,24,0,4.85
8,-3.28,7.4,24,0,4.85
8,-3.1,7.4,24,0,4.85
8,-0.628,7.4,24,0,0.85
8,-0.591,7.4,24,0,0.85
8,-0.572,7.4,24,0,0.85
8,-0.903,7.4,24,0,1.13
8,-0.878,7.4,24,0,1.13
8,-0.853,7.4,24,0,1.13
8,-1.77,7.4,24,0,2.03
8,-1.78,7.4,24,0,2.03
8,-1.75,7.4,24,0,2.03
8,-3.52,7.4,24,0,4
8,-3.45,7.4,24,0,4
8,-3.42,7.4,24,0,4
8,-5.25,7.4,24,0,5.64
8,-5.22,7.4,24,0,5.64
8,-5.18,7.4,24,0,5.64
9,-0.453,7.4,24,0,0.81
9,-0.441,7.4,24,0,0.81
9,-0.428,7.4,24,0,0.81
9,-1.09,7.4,24,0,1.6
9,-1.08,7.4,24,0,1.6
9,-1.07,7.4,24,0,1.6
9,-1.4,7.4,24,0,2.2
9,-1.37,7.4,24,0,2.2
9,-1.34,7.4,24,0,2.2
9,-2.53,7.4,24,0,3.93
9,-2.4,7.4,24,0,3.93
9,-2.27,7.4,24,0,3.93
9,-3.37,7.4,24,0,4.85
9,-3.11,7.4,24,0,4.85
9,-2.95,7.4,24,0,4.85
9,-0.584,7.4,24,0,0.85
9,-0.559,7.4,24,0,0.85
9,-0.541,7.4,24,0,0.85
9,-0.847,7.4,24,0,1.13
9,-0.828,7.4,24,0,1.13
9,-0.809,7.4,24,0,1.13
9,-1.68,7.4,24,0,2.03
9,-1.68,7.4,24,0,2.03
9,-1.65,7.4,24,0,2.03
9,-3.33,7.4,24,0,4
9,-3.27,7.4,24,0,4
9,-3.24,7.4,24,0,4
9,-4.98,7.4,24,0,5.64
9,-4.94,7.4,24,0,5.64
9,-4.91,7.4,24,0,5.64
10,-0.429,7.4,24,0,0.81
10,-0.418,7.4,24,0,0.81
10,-0.409,7.4,24,0,0.81
10,-1.05,7.4,24,0,1.6
10,-1.04,7.4,24,0,1.6
10,-1.02,7.4,24,0,1.6
10,-1.34,7.4,24,0,2.2
10,-1.3,7.4,24,0,2.2
10,-1.28,7.4,24,0,2.2
10,-2.41,7.4,24,0,3.93
10,-2.28,7.4,24,0,3.93
10,-2.17,7.4,24,0,3.93
10,-3.21,7.4,24,0,4.85
10,-2.97,7.4,24,0,4.85
10,-2.82,7.4,24,0,4.85
10,-0.55,7.4,24,0,0.85
10,-0.526,7.4,24,0,0.85
10,-0.512,7.4,24,0,0.85
10,-0.799,7.4,24,0,1.13
10,-0.784,7.4,24,0,1.13
10,-0.765,7.4,24,0,1.13
10,-1.6,7.4,24,0,2.03
10,-1.6,7.4,24,0,2.03
10,-1.57,7.4,24,0,2.03
10,-3.17,7.4,24,0,4
10,-3.12,7.4,24,0,4
10,-3.08,7.4,24,0,4
10,-4.74,7.4,24,0,5.64
10,-4.71,7.4,24,0,5.64
10,-4.67,7.4,24,0,5.64
11,-0.413,7.4,24,0,0.81
11,-0.403,7.4,24,0,0.81
11,-0.395,7.4,24,0,0.81
11,-1.01,7.4,24,0,1.6
11,-0.999,7.4,24,0,1.6
11,-0.98,7.4,24,0,1.6
11,-1.29,7.4,24,0,2.2
11,-1.25,7.4,24,0,2.2
11,-1.23,7.4,24,0,2.2
11,-2.31,7.4,24,0,3.93
11,-2.19,7.4,24,0,3.93
11,-2.07,7.4,24,0,3.93
11,-3.07,7.4,24,0,4.85
11,-2.85,7.4,24,0,4.85
11,-2.71,7.4,24,0,4.85
11,-0.522,7.4,24,0,0.85
11,-0.502,7.4,24,0,0.85
11,-0.488,7.4,24,0,0.85
11,-0.76,7.4,24,0,1.13
11,-0.749,7.4,24,0,1.13
11,-0.73,7.4,24,0,1.13
11,-1.53,7.4,24,0,2.03
11,-1.53,7.4,24,0,2.03
11,-1.5,7.4,24,0,2.03
11,-3.03,7.4,24,0,4
11,-2.98,7.4,24,0,4
11,-2.95,7.4,24,0,4
11,-4.53,7.4,24,0,5.64
11,-4.5,7.4,24,0,5.64
11,-4.47,7.4,24,0,5.64
12,-0.399,7.4,24,0,0.81
12,-0.39,7.4,24,0,0.81
12,-0.382,7.4,24,0,0.81
12,-0.978,7.4,24,0,1.6
12,-0.966,7.4,24,0,1.6
12,-0.948,7.4,24,0,1.6
12,-1.24,7.4,24,0,2.2
12,-1.21,7.4,24,0,2.2
12,-1.19,7.4,24,0,2.2
12,-2.22,7.4,24,0,3.93
12,-2.1,7.4,24,0,3.93
12,-1.99,7.4,24,0,3.93
12,-2.96,7.4,24,0,4.85
12,-2.74,7.4,24,0,4.85
12,-2.61,7.4,24,0,4.85
12,-0.504,7.4,24,0,0.85
12,-0.48,7.4,24,0,0.85
12,-0.468,7.4,24,0,0.85
12,-0.727,7.4,24,0,1.13
12,-0.717,7.4,24,0,1.13
12,-0.7,7.4,24,0,1.13
12,-1.47,7.4,24,0,2.03
12,-1.47,7.4,24,0,2.03
12,-1.44,7.4,24,0,2.03
12,-2.91,7.4,24,0,4
12,-2.87,7.4,24,0,4
12,-2.83,7.4,24,0,4
12,-4.35,7.4,24,0,5.64
12,-4.32,7.4,24,0,5.64
12,-4.29,7.4,24,0,5.64
13,-0.386,7.4,24,0,0.81
