Rinse: R,Rinse: MAE,Rinse Test: R,Rinse Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Rinse 0: R,Rinse 1: R,Rinse 0: MAE,Rinse 1: MAE,Rinse 0: R TEST,Rinse 1: R TEST,Rinse 0: MAE TEST,Rinse 1: MAE TEST
0.984113291,0.220604744,0.988312036,0.176058065,1,0.977277815,0.306525931,0.995027423,0.128177596,0.96823512,0.988342464,0.356150232,0.253357057,0.995249689,0.994193524,0.139609111,0.116746061
0.994676009,0.104918871,0.989673242,0.158379819,2,0.986252859,0.232764196,0.995040387,0.138087351,0.97928445,0.994091973,0.300406367,0.160290435,0.996127486,0.993528739,0.13544536,0.141316447
,,,,3,0.98429662,0.244178083,0.988949478,0.221448977,0.975744262,0.99365586,0.32689257,0.155555408,0.989081889,0.993323505,0.185985457,0.283510067
,,,,4,0.984624684,0.238257971,0.995013893,0.145826571,0.975137964,0.99499552,0.32390704,0.146491107,0.995476857,0.995344877,0.140284628,0.150675798
,,,,5,0.987841502,0.20847841,0.990616664,0.198587887,0.979188591,0.99659811,0.288146481,0.123119747,0.994449794,0.981211156,0.165268958,0.243013106
,,,,6,0.989087701,0.185717627,0.975037083,0.274863914,0.981114015,0.997127339,0.258243032,0.108011838,0.978165179,0.9704808,0.233649623,0.321965963
,,,,7,0.990041494,0.17146498,0.979155377,0.211515721,0.982651383,0.997397244,0.236343596,0.101952186,0.994141325,0.921861544,0.15644002,0.266591407
,,,,8,0.990766302,0.161809694,0.98914589,0.159905292,0.983762577,0.997825474,0.227364514,0.091572391,0.981234089,0.992212474,0.169593535,0.151707545
,,,,9,0.991534606,0.156583682,0.99211973,0.134705974,0.985307619,0.99793151,0.216454044,0.092436867,0.994605482,0.989824355,0.111816764,0.170311399
,,,,10,0.991653293,0.157562405,0.990716726,0.195352834,0.985804453,0.997762904,0.213783875,0.097325096,0.997546613,0.984305814,0.127698801,0.263006851
,,,,11,0.991841331,0.154581409,0.995852441,0.111253543,0.985864386,0.998113453,0.21489941,0.089954982,0.996332139,0.995646968,0.122080002,0.10209273
,,,,12,0.991973892,0.151458174,0.996141642,0.128016634,0.985966459,0.998221546,0.213579413,0.084899699,0.994990021,0.999174267,0.154453054,0.08307471
,,,,13,0.992218047,0.148839947,0.952125296,0.35046041,0.986343175,0.998320267,0.210182775,0.083115496,0.999276727,0.911025167,0.08434964,0.502523638
,,,,14,0.99238956,0.148085508,0.99227348,0.146314405,0.986594021,0.9985338,0.21040101,0.081318896,0.999255523,0.991214916,0.094827764,0.169717409
,,,,15,0.992512479,0.147739347,0.994170979,0.135864418,0.986855984,0.998613715,0.209974077,0.081059282,0.994089022,0.996692911,0.169315241,0.110776253
,,,,16,0.992562339,0.14735226,0.996163756,0.111947386,0.986925706,0.998715013,0.21033955,0.079865893,0.996452242,0.99841921,0.122736575,0.095763605
,,,,17,0.992741302,0.146725852,0.986950248,0.146701053,0.987225026,0.998802274,0.209476244,0.079493279,0.984218121,0.9951545,0.184499886,0.10512233
,,,,18,0.992772534,0.148053318,0.994556725,0.141442712,0.987284526,0.998819292,0.211868607,0.079679797,0.995995075,0.982906163,0.139688805,0.145388991
,,,,19,0.992742419,0.148886938,0.992357165,0.183546025,0.987055227,0.998834282,0.213181045,0.080000403,0.996498913,0.998918667,0.257354729,0.085134391
,,,,20,0.992792666,0.149460878,0.991827324,0.153332476,0.987029806,0.998829886,0.212567117,0.081847053,0.988877416,0.993555754,0.129696408,0.167120207
,,,,21,0.992813721,0.149689689,0.992837489,0.156313743,0.98697117,0.998776719,0.210073162,0.084993111,0.989652663,0.998077989,0.189741343,0.09502984
,,,,22,0.992986634,0.150048025,0.996550575,0.105356826,0.98730886,0.998634845,0.206475135,0.089590421,0.99561131,0.998168811,0.126531255,0.088032262
,,,,23,0.992953241,0.153882507,0.981264636,0.23552046,0.987406522,0.998427749,0.206457961,0.097551681,0.978289396,0.99546589,0.269717675,0.119249968
,,,,24,0.993041292,0.154001709,0.988323033,0.153270315,0.987770125,0.998276979,0.202658441,0.101869497,0.98029314,0.999352142,0.194659561,0.084288227
