Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
0,-0.005953074,0,0.017203331,0,0.007734418
1,-0.005953074,1,0.017109632,1,0.007547021
2,-0.005953074,2,0.017109632,2,0.007453322
3,-0.005953074,3,0.017015934,3,0.007359624
4,-0.00604713,4,0.017015934,4,0.007359624
5,-0.00604713,5,0.017015934,5,0.007359624
6,-0.006140828,6,0.016922235,6,0.007265568
7,-0.006140828,7,0.016922235,7,0.007265568
8,-0.006140828,8,0.016922235,8,0.007171869
9,-0.006140828,9,0.016828179,9,0.007171869
10,-0.006140828,10,0.016828179,10,0.007078171
11,-0.006140828,11,0.016828179,11,0.006984472
12,-0.006140828,12,0.016828179,12,0.006890774
13,-0.006234527,13,0.016828179,13,0.006797075
14,-0.006234527,14,0.016734481,14,0.006609321
15,-0.006234527,15,0.016734481,15,0.006515622
16,-0.006234527,16,0.016734481,16,0.006421924
17,-0.006234527,17,0.016734481,17,0.006328225
18,-0.006234527,18,0.016734481,18,0.006234527
19,-0.006234527,19,0.016734481,19,0.006140828
20,-0.006234527,20,0.016640782,20,0.006140828
21,-0.006328225,21,0.016640782,21,0.006046772
22,-0.006328225,22,0.016640782,22,0.006046772
23,-0.006234527,23,0.016640782,23,0.005953074
24,-0.006328225,24,0.016640782,24,0.005953074
25,-0.006328225,25,0.016640782,25,0.005953074
26,-0.006328225,26,0.016640782,26,0.005859375
27,-0.006328225,27,0.016640782,27,0.005859375
28,-0.006328225,28,0.016640782,28,0.005859375
29,-0.006328225,29,0.016640782,29,0.005859375
30,-0.006328225,30,0.016640782,30,0.005859375
31,-0.006328225,31,0.016640782,31,0.005859375
32,-0.006328225,32,0.016640782,32,0.005859375
33,-0.006328225,33,0.016640782,33,0.005859375
34,-0.006421924,34,0.016640782,34,0.005859375
35,-0.006421924,35,0.016640782,35,0.005859375
36,-0.006421924,36,0.016640782,36,0.005859375
37,-0.006421924,37,0.016640782,37,0.005859375
38,-0.006421924,38,0.016640782,38,0.005859375
39,-0.006421924,39,0.016640782,39,0.005859375
40,-0.006421924,40,0.016640782,40,0.005859375
41,-0.006421924,41,0.016640782,41,0.005765676
42,-0.006421924,42,0.016640782,42,0.005765676
43,-0.006421924,43,0.016640782,43,0.005765676
44,-0.006421924,44,0.016640782,44,0.005765676
45,-0.006421924,45,0.016640782,45,0.005765676
46,-0.006421924,46,0.016640782,46,0.005765676
47,-0.006421924,47,0.016640782,47,0.005765676
48,-0.006515622,48,0.016734481,48,0.005765676
49,-0.006515622,49,0.016734481,49,0.005765676
50,-0.006515622,50,0.016734481,50,0.005765676
51,-0.128580093,51,-0.117611289,51,-0.149861634
52,-0.129798889,52,-0.118454933,52,-0.150142908
53,-0.130923986,53,-0.118736207,53,-0.150517881
54,-0.132048905,54,-0.118829906,54,-0.151361704
55,-0.132611454,55,-0.118923783,55,-0.151642978
56,-0.133455276,56,-0.119017482,56,-0.151736677
57,-0.133736372,57,-0.118923783,57,-0.151830554
58,-0.134205222,58,-0.118923783,58,-0.151924253
59,-0.134673893,59,-0.118829906,59,-0.15211165
60,-0.135049045,60,-0.118829906,60,-0.152205527
61,-0.135142744,61,-0.118736207,61,-0.152205527
62,-0.135236442,62,-0.118642509,62,-0.152299225
63,-0.135330141,63,-0.118548632,63,-0.152299225
64,-0.135517716,64,-0.118454933,64,-0.152299225
65,-0.135611415,65,-0.118173659,65,-0.152205527
66,-0.135611415,66,-0.117892385,66,-0.15211165
67,-0.135705292,67,-0.117704988,67,-0.152017951
68,-0.135798991,68,-0.117423713,68,-0.151924253
69,-0.135798991,69,-0.117236137,69,-0.151830554
70,-0.135798991,70,-0.117142439,70,-0.151736677
71,-0.135798991,71,-0.11704874,71,-0.151736677
72,-0.135705292,72,-0.116861165,72,-0.151736677
73,-0.135705292,73,-0.116486192,73,-0.151642978
74,-0.135611415,74,-0.116204917,74,-0.151642978
75,-0.135517716,75,-0.115923643,75,-0.151642978
76,-0.135517716,76,-0.115736246,76,-0.15154928
77,-0.135424018,77,-0.115642369,77,-0.151455402
78,-0.135330141,78,-0.115454972,78,-0.151268005
79,-0.135330141,79,-0.115267396,79,-0.150986731
80,-0.135236442,80,-0.114986122,80,-0.150799155
81,-0.135236442,81,-0.114611149,81,-0.150517881
82,-0.135142744,82,-0.114423573,82,-0.150330484
83,-0.135142744,83,-0.114236176,83,-0.150236785
84,-0.135049045,84,-0.114142478,84,-0.150236785
85,-0.134955168,85,-0.113954902,85,-0.150142908
86,-0.134861469,86,-0.113767326,86,-0.150142908
87,-0.134767771,87,-0.113486052,87,-0.150142908
88,-0.134580195,88,-0.113204956,88,-0.149955511
89,-0.134392619,89,-0.112923682,89,-0.149767935
90,-0.134205222,90,-0.112736106,90,-0.149580359
91,-0.134111524,91,-0.112642407,91,-0.149205387
92,-0.133923948,92,-0.112548709,92,-0.14901799
93,-0.133830249,93,-0.112454832,93,-0.148830414
94,-0.133736372,94,-0.112079859,94,-0.148736715
95,-0.133736372,95,-0.111798584,95,-0.148736715
96,-0.133642673,96,-0.111611187,96,-0.148642838
97,-0.133548975,97,-0.111423612,97,-0.148642838
98,-0.133455276,98,-0.111236036,98,-0.148549139
99,-0.133361399,99,-0.111142337,99,-0.148455441
100,-0.133267701,100,-0.111048639,100,-0.148174167
101,-0.001828194,101,0.002859235,101,-0.016734481
102,-0.001547098,102,0.003234386,102,-0.016640782
103,-0.001078248,103,0.004172087,103,-0.015516043
104,-0.000609398,104,0.004546881,104,-0.015140891
105,-0.000328302,105,0.005203128,105,-0.014859796
106,-0.000234246,106,0.005671978,106,-0.014203191
107,-0.000140548,107,0.005859375,107,-0.013734698
108,-4.68493E-05,108,0.006046772,108,-0.013641
109,0.000140548,109,0.006328225,109,-0.013641
110,0.000234246,110,0.006703377,110,-0.013453245
111,0.000327945,111,0.006984472,111,-0.013078451
112,0.000515699,112,0.007171869,112,-0.0127033
113,0.000609398,113,0.007265568,113,-0.012422204
114,0.000703096,114,0.007359624,114,-0.012234449
115,0.000703096,115,0.007359624,115,-0.012234449
116,0.000796795,116,0.007453322,116,-0.012140751
117,0.000890493,117,0.007547021,117,-0.012140751
118,0.000984192,118,0.007734418,118,-0.012140751
119,0.000984192,119,0.007828116,119,-0.012140751
120,0.001078248,120,0.008015871,120,-0.012047052
121,0.001078248,121,0.00810957,121,-0.011953354
122,0.001078248,122,0.008203268,122,-0.011765957
123,0.001171947,123,0.008296967,123,-0.011578202
124,0.001171947,124,0.008390665,124,-0.011484504
125,0.001171947,125,0.008390665,125,-0.011390805
126,0.001171947,126,0.008484364,126,-0.011203408
127,0.001171947,127,0.008578062,127,-0.01110971
128,0.001265645,128,0.008578062,128,-0.011015654
129,0.001265645,129,0.008578062,129,-0.010921955
130,0.001265645,130,0.008672118,130,-0.010828257
131,0.001265645,131,0.008672118,131,-0.010828257
132,0.001265645,132,0.008672118,132,-0.010734558
133,0.001265645,133,0.008765817,133,-0.010734558
134,0.001265645,134,0.008765817,134,-0.010734558
135,0.001265645,135,0.008765817,135,-0.010734558
136,0.001265645,136,0.008765817,136,-0.01064086
137,0.001265645,137,0.008765817,137,-0.01064086
138,0.001359344,138,0.008765817,138,-0.01064086
139,0.001359344,139,0.008765817,139,-0.01064086
140,0.001359344,140,0.008859515,140,-0.01064086
141,0.001359344,141,0.008859515,141,-0.01064086
142,0.001359344,142,0.008859515,142,-0.01064086
143,0.001359344,143,0.008859515,143,-0.01064086
144,0.001359344,144,0.008859515,144,-0.01064086
145,0.001359344,145,0.008859515,145,-0.010547161
146,0.001359344,146,0.008859515,146,-0.010547161
147,0.001359344,147,0.008953214,147,-0.010547161
148,0.001359344,148,0.008859515,148,-0.010547161
149,0.001359344,149,0.008953214,149,-0.010453463
150,0.001359344,150,0.008953214,150,-0.010453463
151,0.165143251,151,0.152486801,151,-0.010359406
152,0.165143251,152,0.152861595,152,0.142830133
153,0.16523695,153,0.153799295,153,0.143205285
154,0.165424347,154,0.154455543,154,0.143674135
155,0.165518045,155,0.15511179,155,0.143767834
156,0.165611744,156,0.155674338,156,0.143861532
157,0.1657058,157,0.155955434,157,0.143861532
158,0.165799499,158,0.156236887,158,0.143955231
159,0.165893197,159,0.156611681,159,0.144142628
160,0.165893197,160,0.156705379,160,0.144424081
161,0.165893197,161,0.156799078,161,0.144705176
162,0.165986896,162,0.156893134,162,0.144892931
163,0.165986896,163,0.156986833,163,0.145080328
164,0.165893197,164,0.156986833,164,0.145174026
165,0.165893197,165,0.156986833,165,0.145174026
166,0.165986896,166,0.157080531,166,0.145267725
167,0.165893197,167,0.157080531,167,0.145267725
168,0.165893197,168,0.157080531,168,0.145267725
169,0.165893197,169,0.156986833,169,0.145267725
170,0.165893197,170,0.156986833,170,0.145361423
171,0.165799499,171,0.156986833,171,0.145361423
172,0.165799499,172,0.156893134,172,0.145361423
173,0.165799499,173,0.156893134,173,0.145361423
174,0.1657058,174,0.156799078,174,0.145361423
175,0.1657058,175,0.156799078,175,0.145361423
176,0.1657058,176,0.156705379,176,0.145361423
177,0.165611744,177,0.156611681,177,0.145361423
178,0.165611744,178,0.156517982,178,0.14545548
179,0.165518045,179,0.156424284,179,0.14545548
180,0.165518045,180,0.156330585,180,0.14545548
181,0.165424347,181,0.156236887,181,0.14545548
182,0.165424347,182,0.156142831,182,0.145549178
183,0.165330648,183,0.156049132,183,0.145549178
184,0.165330648,184,0.156049132,184,0.145549178
185,0.16523695,185,0.155955434,185,0.145642877
186,0.16523695,186,0.155861735,186,0.145642877
187,0.16523695,187,0.155861735,187,0.145642877
188,0.165143251,188,0.155768037,188,0.145642877
