Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),,Ti-200-24hre-2 (2nd measurement),
s,V,s,V,s,V,s,V
0,-0.005953074,0,0.017203331,0,0.007734418,0,0.002109289
1,-0.005953074,1,0.017109632,1,0.007547021,1,0.001359344
2,-0.005953074,2,0.017109632,2,0.007453322,2,0.001078248
3,-0.005953074,3,0.017015934,3,0.007359624,3,0.000327945
4,-0.00604713,4,0.017015934,4,0.007359624,4,-4.68493E-05
5,-0.00604713,5,0.017015934,5,0.007359624,5,-0.000234246
6,-0.006140828,6,0.016922235,6,0.007265568,6,-0.000328302
7,-0.006140828,7,0.016922235,7,0.007265568,7,-0.000609398
8,-0.006140828,8,0.016922235,8,0.007171869,8,-0.001078248
9,-0.006140828,9,0.016828179,9,0.007171869,9,-0.001359344
10,-0.006140828,10,0.016828179,10,0.007078171,10,-0.001547098
11,-0.006140828,11,0.016828179,11,0.006984472,11,-0.001640797
12,-0.006140828,12,0.016828179,12,0.006890774,12,-0.001640797
13,-0.006234527,13,0.016828179,13,0.006797075,13,-0.001734495
14,-0.006234527,14,0.016734481,14,0.006609321,14,-0.001734495
15,-0.006234527,15,0.016734481,15,0.006515622,15,-0.001828194
16,-0.006234527,16,0.016734481,16,0.006421924,16,-0.001921892
17,-0.006234527,17,0.016734481,17,0.006328225,17,-0.002109289
18,-0.006234527,18,0.016734481,18,0.006234527,18,-0.002297044
19,-0.006234527,19,0.016734481,19,0.006140828,19,-0.002390742
20,-0.006234527,20,0.016640782,20,0.006140828,20,-0.002578139
21,-0.006328225,21,0.016640782,21,0.006046772,21,-0.002671838
22,-0.006328225,22,0.016640782,22,0.006046772,22,-0.002765536
23,-0.006234527,23,0.016640782,23,0.005953074,23,-0.002859592
24,-0.006328225,24,0.016640782,24,0.005953074,24,-0.002953291
25,-0.006328225,25,0.016640782,25,0.005953074,25,-0.002953291
26,-0.006328225,26,0.016640782,26,0.005859375,26,-0.003046989
27,-0.006328225,27,0.016640782,27,0.005859375,27,-0.003046989
28,-0.006328225,28,0.016640782,28,0.005859375,28,-0.003046989
29,-0.006328225,29,0.016640782,29,0.005859375,29,-0.003140688
30,-0.006328225,30,0.016640782,30,0.005859375,30,-0.003140688
31,-0.006328225,31,0.016640782,31,0.005859375,31,-0.003140688
32,-0.006328225,32,0.016640782,32,0.005859375,32,-0.003140688
33,-0.006328225,33,0.016640782,33,0.005859375,33,-0.003140688
34,-0.006421924,34,0.016640782,34,0.005859375,34,-0.003140688
35,-0.006421924,35,0.016640782,35,0.005859375,35,-0.003140688
36,-0.006421924,36,0.016640782,36,0.005859375,36,-0.003140688
37,-0.006421924,37,0.016640782,37,0.005859375,37,-0.003140688
38,-0.006421924,38,0.016640782,38,0.005859375,38,-0.003140688
39,-0.006421924,39,0.016640782,39,0.005859375,39,-0.003234386
40,-0.006421924,40,0.016640782,40,0.005859375,40,-0.003234386
41,-0.006421924,41,0.016640782,41,0.005765676,41,-0.003234386
42,-0.006421924,42,0.016640782,42,0.005765676,42,-0.003234386
43,-0.006421924,43,0.016640782,43,0.005765676,43,-0.003234386
44,-0.006421924,44,0.016640782,44,0.005765676,44,-0.003234386
45,-0.006421924,45,0.016640782,45,0.005765676,45,-0.003234386
46,-0.006421924,46,0.016640782,46,0.005765676,46,-0.003234386
47,-0.006421924,47,0.016640782,47,0.005765676,47,-0.003234386
48,-0.006515622,48,0.016734481,48,0.005765676,48,-0.003234386
49,-0.006515622,49,0.016734481,49,0.005765676,49,-0.003234386
50,-0.006515622,50,0.016734481,50,0.005765676,50,-0.003234386
51,-0.128580093,51,-0.117611289,51,-0.149861634,51,-0.135517716
52,-0.129798889,52,-0.118454933,52,-0.150142908,52,-0.135517716
53,-0.130923986,53,-0.118736207,53,-0.150517881,53,-0.135705292
54,-0.132048905,54,-0.118829906,54,-0.151361704,54,-0.135705292
55,-0.132611454,55,-0.118923783,55,-0.151642978,55,-0.135611415
56,-0.133455276,56,-0.119017482,56,-0.151736677,56,-0.135517716
57,-0.133736372,57,-0.118923783,57,-0.151830554,57,-0.135330141
58,-0.134205222,58,-0.118923783,58,-0.151924253,58,-0.135236442
59,-0.134673893,59,-0.118829906,59,-0.15211165,59,-0.135236442
60,-0.135049045,60,-0.118829906,60,-0.152205527,60,-0.135142744
