Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-2 (1st measurement),,Ti-200-24hre-2 (2nd measurement),,Ti-200-24hre-2 (3rd measurement),
s,V,s,V,s,V,s,V
0,-0.005953074,0,0.002109289,0,0.014953494,0,-0.00351584
1,-0.005953074,1,0.001359344,1,0.014390945,1,-0.003421783
2,-0.005953074,2,0.001078248,2,0.013922095,2,-0.003328085
3,-0.005953074,3,0.000327945,3,0.013359547,3,-0.003234386
4,-0.00604713,4,-4.68493E-05,4,0.012984395,4,-0.003234386
5,-0.00604713,5,-0.000234246,5,0.012609601,5,-0.003234386
6,-0.006140828,6,-0.000328302,6,0.012422204,6,-0.003234386
7,-0.006140828,7,-0.000609398,7,0.012140751,7,-0.003140688
8,-0.006140828,8,-0.001078248,8,0.011765957,8,-0.003140688
9,-0.006140828,9,-0.001359344,9,0.011578202,9,-0.003140688
10,-0.006140828,10,-0.001547098,10,0.011297107,10,-0.003046989
11,-0.006140828,11,-0.001640797,11,0.011109352,11,-0.002953291
12,-0.006140828,12,-0.001640797,12,0.011015654,12,-0.002859592
13,-0.006234527,13,-0.001734495,13,0.010828257,13,-0.002765536
14,-0.006234527,14,-0.001734495,14,0.01064086,14,-0.002671838
15,-0.006234527,15,-0.001828194,15,0.010453105,15,-0.002578139
16,-0.006234527,16,-0.001921892,16,0.010265708,16,-0.002390742
17,-0.006234527,17,-0.002109289,17,0.010078311,17,-0.002297044
18,-0.006234527,18,-0.002297044,18,0.009984612,18,-0.002203345
19,-0.006234527,19,-0.002390742,19,0.009796858,19,-0.002109289
20,-0.006234527,20,-0.002578139,20,0.009703159,20,-0.002015591
21,-0.006328225,21,-0.002671838,21,0.009609461,21,-0.001921892
22,-0.006328225,22,-0.002765536,22,0.009422064,22,-0.001921892
23,-0.006234527,23,-0.002859592,23,0.009234667,23,-0.001921892
24,-0.006328225,24,-0.002953291,24,0.009140611,24,-0.001828194
25,-0.006328225,25,-0.002953291,25,0.009046912,25,-0.001828194
26,-0.006328225,26,-0.003046989,26,0.008953214,26,-0.001734495
27,-0.006328225,27,-0.003046989,27,0.009140611,27,-0.001734495
28,-0.006328225,28,-0.003046989,28,0.008953214,28,-0.001734495
29,-0.006328225,29,-0.003140688,29,0.008859515,29,-0.001734495
30,-0.006328225,30,-0.003140688,30,0.008765817,30,-0.001734495
31,-0.006328225,31,-0.003140688,31,0.008672118,31,-0.001734495
32,-0.006328225,32,-0.003140688,32,0.008484364,32,-0.001640797
33,-0.006328225,33,-0.003140688,33,0.008484364,33,-0.001640797
34,-0.006421924,34,-0.003140688,34,0.008296967,34,-0.001640797
35,-0.006421924,35,-0.003140688,35,0.008203268,35,-0.001640797
36,-0.006421924,36,-0.003140688,36,0.00810957,36,-0.001640797
37,-0.006421924,37,-0.003140688,37,0.00810957,37,-0.001640797
38,-0.006421924,38,-0.003140688,38,0.008015871,38,-0.001640797
39,-0.006421924,39,-0.003234386,39,0.007921815,39,-0.001640797
40,-0.006421924,40,-0.003234386,40,0.007828116,40,-0.001640797
41,-0.006421924,41,-0.003234386,41,0.007734418,41,-0.001640797
42,-0.006421924,42,-0.003234386,42,0.007734418,42,-0.001640797
43,-0.006421924,43,-0.003234386,43,0.007640719,43,-0.001640797
44,-0.006421924,44,-0.003234386,44,0.007640719,44,-0.001547098
45,-0.006421924,45,-0.003234386,45,0.007547021,45,-0.001547098
46,-0.006421924,46,-0.003234386,46,0.007453322,46,-0.001547098
47,-0.006421924,47,-0.003234386,47,0.007453322,47,-0.001547098
48,-0.006515622,48,-0.003234386,48,0.007359624,48,-0.001547098
49,-0.006515622,49,-0.003234386,49,0.007359624,49,-0.001547098
50,-0.006515622,50,-0.003234386,50,0.007265568,50,-0.001453042
51,-0.128580093,51,-0.135517716,51,-0.115642369,51,-0.001453042
52,-0.129798889,52,-0.135517716,52,-0.115642369,52,-0.111236036
53,-0.130923986,53,-0.135705292,53,-0.115642369,53,-0.11048609
54,-0.132048905,54,-0.135705292,54,-0.11554867,54,-0.109642267
55,-0.132611454,55,-0.135611415,55,-0.115173697,55,-0.108892322
56,-0.133455276,56,-0.135517716,56,-0.114611149,56,-0.108236074
57,-0.133736372,57,-0.135330141,57,-0.114329875,57,-0.107673526
