),,Ti-200-24hre-2 (1st measurement),,Ti-200-24hre-2 (2nd measurement),,Ti-200-24hre-2 (3rd measurement),,Ti-200-24hre-2 (4th measurement),
s,V,s,V,s,V,s,V,s,V
0,-0.005953074,0,0.002109289,0,-0.00351584,0,-0.009046912,0,-0.001921892
1,-0.005953074,1,0.001359344,1,-0.003421783,1,-0.009140968,1,-0.001921892
2,-0.005953074,2,0.001078248,2,-0.003328085,2,-0.009046912,2,-0.001734495
3,-0.005953074,3,0.000327945,3,-0.003234386,3,-0.008953214,3,-0.001640797
4,-0.00604713,4,-4.68493E-05,4,-0.003234386,4,-0.008953214,4,-0.001547098
5,-0.00604713,5,-0.000234246,5,-0.003234386,5,-0.008859515,5,-0.001453042
6,-0.006140828,6,-0.000328302,6,-0.003234386,6,-0.008765817,6,-0.001359344
7,-0.006140828,7,-0.000609398,7,-0.003140688,7,-0.008672118,7,-0.001265645
8,-0.006140828,8,-0.001078248,8,-0.003140688,8,-0.008484364,8,-0.001265645
9,-0.006140828,9,-0.001359344,9,-0.003140688,9,-0.008390665,9,-0.001171947
10,-0.006140828,10,-0.001547098,10,-0.003046989,10,-0.008296967,10,-0.001078248
11,-0.006140828,11,-0.001640797,11,-0.002953291,11,-0.008203268,11,-0.001078248
12,-0.006140828,12,-0.001640797,12,-0.002859592,12,-0.00810957,12,-0.00098455
13,-0.006234527,13,-0.001734495,13,-0.002765536,13,-0.008015871,13,-0.00098455
14,-0.006234527,14,-0.001734495,14,-0.002671838,14,-0.007828116,14,-0.00098455
15,-0.006234527,15,-0.001828194,15,-0.002578139,15,-0.007734418,15,-0.000890493
16,-0.006234527,16,-0.001921892,16,-0.002390742,16,-0.007640719,16,-0.000890493
17,-0.006234527,17,-0.002109289,17,-0.002297044,17,-0.007547021,17,-0.000890493
18,-0.006234527,18,-0.002297044,18,-0.002203345,18,-0.007547021,18,-0.000890493
19,-0.006234527,19,-0.002390742,19,-0.002109289,19,-0.007547021,19,-0.000890493
20,-0.006234527,20,-0.002578139,20,-0.002015591,20,-0.007453322,20,-0.000796795
21,-0.006328225,21,-0.002671838,21,-0.001921892,21,-0.007359624,21,-0.000796795
22,-0.006328225,22,-0.002765536,22,-0.001921892,22,-0.007265925,22,-0.000796795
23,-0.006234527,23,-0.002859592,23,-0.001921892,23,-0.007171869,23,-0.000796795
24,-0.006328225,24,-0.002953291,24,-0.001828194,24,-0.007078171,24,-0.000796795
25,-0.006328225,25,-0.002953291,25,-0.001828194,25,-0.006984472,25,-0.000796795
26,-0.006328225,26,-0.003046989,26,-0.001734495,26,-0.006890774,26,-0.000703096
27,-0.006328225,27,-0.003046989,27,-0.001734495,27,-0.006797075,27,-0.000703096
28,-0.006328225,28,-0.003046989,28,-0.001734495,28,-0.006703377,28,-0.000703096
29,-0.006328225,29,-0.003140688,29,-0.001734495,29,-0.006609678,29,-0.000703096
30,-0.006328225,30,-0.003140688,30,-0.001734495,30,-0.006515622,30,-0.000703096
31,-0.006328225,31,-0.003140688,31,-0.001734495,31,-0.006421924,31,-0.000703096
