Ti-200-24hre-1,
s,V
0,-0.005953074
1,-0.005953074
2,-0.005953074
3,-0.005953074
4,-0.00604713
5,-0.00604713
6,-0.006140828
7,-0.006140828
8,-0.006140828
9,-0.006140828
10,-0.006140828
11,-0.006140828
12,-0.006140828
13,-0.006234527
14,-0.006234527
15,-0.006234527
16,-0.006234527
17,-0.006234527
18,-0.006234527
19,-0.006234527
20,-0.006234527
21,-0.006328225
22,-0.006328225
23,-0.006234527
24,-0.006328225
25,-0.006328225
26,-0.006328225
27,-0.006328225
28,-0.006328225
29,-0.006328225
30,-0.006328225
31,-0.006328225
32,-0.006328225
33,-0.006328225
34,-0.006421924
35,-0.006421924
36,-0.006421924
37,-0.006421924
38,-0.006421924
39,-0.006421924
40,-0.006421924
41,-0.006421924
42,-0.006421924
43,-0.006421924
44,-0.006421924
45,-0.006421924
46,-0.006421924
47,-0.006421924
48,-0.006515622
49,-0.006515622
50,-0.006515622
51,-0.128580093
52,-0.129798889
53,-0.130923986
54,-0.132048905
55,-0.132611454
56,-0.133455276
57,-0.133736372
58,-0.134205222
59,-0.134673893
60,-0.135049045
61,-0.135142744
62,-0.135236442
63,-0.135330141
64,-0.135517716
65,-0.135611415
66,-0.135611415
67,-0.135705292
68,-0.135798991
69,-0.135798991
70,-0.135798991
71,-0.135798991
72,-0.135705292
73,-0.135705292
74,-0.135611415
75,-0.135517716
76,-0.135517716
77,-0.135424018
78,-0.135330141
79,-0.135330141
80,-0.135236442
81,-0.135236442
82,-0.135142744
83,-0.135142744
84,-0.135049045
85,-0.134955168
86,-0.134861469
87,-0.134767771
88,-0.134580195
89,-0.134392619
90,-0.134205222
91,-0.134111524
92,-0.133923948
93,-0.133830249
94,-0.133736372
95,-0.133736372
96,-0.133642673
97,-0.133548975
98,-0.133455276
99,-0.133361399
100,-0.133267701
101,-0.001828194
102,-0.001547098
103,-0.001078248
104,-0.000609398
105,-0.000328302
106,-0.000234246
107,-0.000140548
108,-4.68493E-05
109,0.000140548
110,0.000234246
111,0.000327945
112,0.000515699
113,0.000609398
114,0.000703096
115,0.000703096
116,0.000796795
117,0.000890493
118,0.000984192
119,0.000984192
120,0.001078248
121,0.001078248
122,0.001078248
123,0.001171947
124,0.001171947
125,0.001171947
126,0.001171947
127,0.001171947
128,0.001265645
129,0.001265645
130,0.001265645
131,0.001265645
132,0.001265645
133,0.001265645
134,0.001265645
135,0.001265645
136,0.001265645
137,0.001265645
138,0.001359344
139,0.001359344
140,0.001359344
141,0.001359344
142,0.001359344
143,0.001359344
144,0.001359344
145,0.001359344
146,0.001359344
147,0.001359344
148,0.001359344
149,0.001359344
150,0.001359344
151,0.165143251
152,0.165143251
153,0.16523695
154,0.165424347
155,0.165518045
156,0.165611744
157,0.1657058
158,0.165799499
159,0.165893197
160,0.165893197
161,0.165893197
162,0.165986896
163,0.165986896
164,0.165893197
165,0.165893197
166,0.165986896
167,0.165893197
168,0.165893197
169,0.165893197
170,0.165893197
171,0.165799499
172,0.165799499
173,0.165799499
174,0.1657058
175,0.1657058
176,0.1657058
177,0.165611744
178,0.165611744
179,0.165518045
180,0.165518045
181,0.165424347
182,0.165424347
183,0.165330648
184,0.165330648
185,0.16523695
186,0.16523695
187,0.16523695
188,0.165143251
189,0.165143251
190,0.165049195
191,0.165049195
192,0.165049195
193,0.164955497
194,0.164955497
195,0.164955497
196,0.164955497
197,0.164861798
198,0.164861798
199,0.164861798
200,0.164861798
201,-0.003046989
202,-0.003140688
203,-0.003140688
204,-0.003234386
205,-0.003234386
206,-0.003234386
207,-0.003328085
208,-0.003328085
209,-0.003328085
210,-0.003421783
211,-0.003421783
212,-0.003421783
213,-0.003421783
214,-0.00351584
215,-0.00351584
216,-0.003609538
217,-0.003609538
218,-0.003609538
219,-0.003609538
220,-0.003703237
221,-0.003703237
222,-0.003703237
223,-0.003703237
224,-0.003796935
225,-0.003796935
226,-0.003796935
227,-0.003796935
228,-0.003796935
229,-0.003796935
230,-0.003796935
231,-0.003796935
232,-0.003796935
233,-0.003796935
234,-0.003703237
235,-0.003703237
236,-0.003703237
