Time,Voltage,Days Elapsed,Sensor Cycle,Start,Increasing,Decreasing,Temperature,Repeat Use,Sensor Number,Measurement Number,Measurement Continuous,pH
0,-0.050954103,2,1,1,0,0,22,1,1,1,1,7
0,-0.175455809,2,1,0,1,0,22,1,1,2,2,10
0,-0.049547553,2,1,0,0,1,22,1,1,3,3,7
0,0.109735966,2,1,0,0,1,22,1,1,4,4,4
0,-0.0511415,2,2,0,1,0,22,1,1,5,5,7
0,-0.180987239,2,2,0,1,0,22,1,1,6,6,10
0,-0.056672931,2,2,0,0,1,22,1,1,7,7,7
0,0.10945487,2,2,0,0,1,22,1,1,8,8,4
0,-0.050860047,2,3,0,1,0,22,1,1,9,9,7
0,-0.176955879,2,3,0,1,0,22,1,1,10,10,10
0,-0.049453855,2,3,0,0,1,22,1,1,11,11,7
0,0.102142096,2,3,0,0,1,22,1,1,12,12,4
0,-0.040266395,2,4,0,1,0,22,1,1,13,13,7
0,-0.166361868,2,4,0,1,0,22,1,1,14,14,10
0,-0.04401648,2,4,0,0,1,22,1,1,15,15,7
0,0.022641063,5,5,1,0,0,22,2,1,1,16,7
0,-0.083860695,5,5,0,1,0,22,2,1,2,17,10
0,0.027984738,5,5,0,0,1,22,2,1,3,18,7
0,0.186330914,5,5,0,0,1,22,2,1,4,19,4
0,0.031641126,5,6,0,1,0,22,2,1,5,20,7
0,-0.08667326,5,6,0,1,0,22,2,1,6,21,10
0,0.016640782,5,6,0,0,1,22,2,1,7,22,7
0,0.181549788,5,6,0,0,1,22,2,1,8,23,4
0,0.030141234,5,7,0,1,0,22,2,1,9,24,7
0,-0.088829577,5,7,0,1,0,22,2,1,10,25,10
0,0.019172072,5,7,0,0,1,22,2,1,11,26,7
0,0.178643346,5,7,0,0,1,22,2,1,12,27,4
0,0.033047318,5,7,0,1,0,22,2,1,13,28,7
0,-0.005953074,68,8,1,0,0,22,3,1,1,29,7
0,-0.128580093,68,8,0,1,0,22,3,1,2,30,10
0,-0.001828194,68,8,0,0,1,22,3,1,3,31,7
0,0.165143251,68,8,0,0,1,22,3,1,4,32,4
0,-0.003046989,68,9,0,1,0,22,3,1,5,33,7
0,-0.129517615,68,9,0,1,0,22,3,1,6,34,10
0,-0.00351584,68,9,0,0,1,22,3,1,7,35,7
0,0.155768037,68,9,0,0,1,22,3,1,8,36,4
0,0.002671838,68,10,0,1,0,22,3,1,9,37,7
0,-0.125298858,68,10,0,1,0,22,3,1,10,38,10
0,-0.004922032,68,10,0,0,1,22,3,1,11,39,7
0,0.154830337,68,10,0,0,1,22,3,1,12,40,4
0,-0.001171947,68,11,0,1,0,22,3,1,13,41,7
0,-0.11911118,68,11,0,1,0,22,3,1,14,42,10
0,0.002671838,68,11,0,0,1,22,3,1,15,43,7
0,0.145361423,68,11,0,0,1,22,3,1,16,44,4
0,-0.00098455,68,12,0,1,0,22,3,1,17,45,7
0,-0.115173697,68,12,0,1,0,22,3,1,18,46,10
0,0.008765817,68,12,0,0,1,22,3,1,19,47,7
0,0.145549178,68,12,0,0,1,22,3,1,20,48,4
0,-0.005953074,70,13,1,0,0,22,4,1,1,49,7
0,-0.128580093,70,13,0,1,0,22,4,1,2,50,10
0,-0.001828194,70,13,0,0,1,22,4,1,3,51,7
0,0.165143251,70,13,0,0,1,22,4,1,4,52,4
0,-0.003046989,70,14,0,1,0,22,4,1,5,53,7
0,-0.129517615,70,14,0,1,0,22,4,1,6,54,10
0,-0.00351584,70,14,0,0,1,22,4,1,7,55,7
0,0.155768037,70,14,0,0,1,22,4,1,8,56,4
