Time,Voltage,Days Elapsed,Sensor Number,Rising Edge,Starting Edge,End Measurement,pH
1,-0.005953074,105,1,1,0,0,7
1,-0.005953074,107,1,1,0,0,7
1,0.017109632,107,1,1,0,0,7
1,0.007547021,107,2,1,0,0,7
1,-0.005953074,114,1,1,0,0,7
1,0.017109632,114,1,1,0,0,7
1,0.007547021,114,2,1,0,0,7
1,0.001359344,114,2,1,0,0,7
1,-0.005953074,139,1,1,0,0,7
1,0.001359344,139,2,1,0,0,7
1,0.014390945,139,2,1,0,0,7
1,-0.003421783,139,2,1,0,0,7
1,-0.005953074,141,2,1,0,0,7
1,0.001359344,141,2,1,0,0,7
1,-0.003421783,141,2,1,0,0,7
1,-0.009140968,141,2,1,0,0,7
1,-0.001921892,141,2,1,0,0,7
2,-0.005953074,105,1,1,0,0,7
2,-0.005953074,107,1,1,0,0,7
2,0.017109632,107,1,1,0,0,7
2,0.007453322,107,2,1,0,0,7
2,-0.005953074,114,1,1,0,0,7
2,0.017109632,114,1,1,0,0,7
2,0.007453322,114,2,1,0,0,7
2,0.001078248,114,2,1,0,0,7
2,-0.005953074,139,1,1,0,0,7
2,0.001078248,139,2,1,0,0,7
2,0.013922095,139,2,1,0,0,7
2,-0.003328085,139,2,1,0,0,7
2,-0.005953074,141,2,1,0,0,7
2,0.001078248,141,2,1,0,0,7
2,-0.003328085,141,2,1,0,0,7
2,-0.009046912,141,2,1,0,0,7
2,-0.001734495,141,2,1,0,0,7
3,-0.005953074,105,1,1,0,0,7
3,-0.005953074,107,1,1,0,0,7
3,0.017015934,107,1,1,0,0,7
3,0.007359624,107,2,1,0,0,7
3,-0.005953074,114,1,1,0,0,7
3,0.017015934,114,1,1,0,0,7
3,0.007359624,114,2,1,0,0,7
3,0.000327945,114,2,1,0,0,7
3,-0.005953074,139,1,1,0,0,7
3,0.000327945,139,2,1,0,0,7
3,0.013359547,139,2,1,0,0,7
3,-0.003234386,139,2,1,0,0,7
3,-0.005953074,141,2,1,0,0,7
3,0.000327945,141,2,1,0,0,7
3,-0.003234386,141,2,1,0,0,7
3,-0.008953214,141,2,1,0,0,7
3,-0.001640797,141,2,1,0,0,7
4,-0.00604713,105,1,1,0,0,7
4,-0.00604713,107,1,1,0,0,7
4,0.017015934,107,1,1,0,0,7
4,0.007359624,107,2,1,0,0,7
4,-0.00604713,114,1,1,0,0,7
4,0.017015934,114,1,1,0,0,7
4,0.007359624,114,2,1,0,0,7
4,-4.68e-05,114,2,1,0,0,7
4,-0.00604713,139,1,1,0,0,7
4,-4.68e-05,139,2,1,0,0,7
4,0.012984395,139,2,1,0,0,7
4,-0.003234386,139,2,1,0,0,7
4,-0.00604713,141,2,1,0,0,7
4,-4.68e-05,141,2,1,0,0,7
4,-0.003234386,141,2,1,0,0,7
4,-0.008953214,141,2,1,0,0,7
4,-0.001547098,141,2,1,0,0,7
5,-0.00604713,105,1,1,0,0,7
5,-0.00604713,107,1,1,0,0,7
5,0.017015934,107,1,1,0,0,7
5,0.007359624,107,2,1,0,0,7
5,-0.00604713,114,1,1,0,0,7
5,0.017015934,114,1,1,0,0,7
5,0.007359624,114,2,1,0,0,7
5,-0.000234246,114,2,1,0,0,7
5,-0.00604713,139,1,1,0,0,7
5,-0.000234246,139,2,1,0,0,7
5,0.012609601,139,2,1,0,0,7
5,-0.003234386,139,2,1,0,0,7
5,-0.00604713,141,2,1,0,0,7
5,-0.000234246,141,2,1,0,0,7
5,-0.003234386,141,2,1,0,0,7
5,-0.008859515,141,2,1,0,0,7
5,-0.001453042,141,2,1,0,0,7
6,-0.006140828,105,1,1,0,0,7
6,-0.006140828,107,1,1,0,0,7
6,0.016922235,107,1,1,0,0,7
6,0.007265568,107,2,1,0,0,7
6,-0.006140828,114,1,1,0,0,7
6,0.016922235,114,1,1,0,0,7
6,0.007265568,114,2,1,0,0,7
6,-0.000328302,114,2,1,0,0,7
6,-0.006140828,139,1,1,0,0,7
6,-0.000328302,139,2,1,0,0,7
6,0.012422204,139,2,1,0,0,7
6,-0.003234386,139,2,1,0,0,7
6,-0.006140828,141,2,1,0,0,7
6,-0.000328302,141,2,1,0,0,7
6,-0.003234386,141,2,1,0,0,7
6,-0.008765817,141,2,1,0,0,7
6,-0.001359344,141,2,1,0,0,7
7,-0.006140828,105,1,1,0,0,7
7,-0.006140828,107,1,1,0,0,7
7,0.016922235,107,1,1,0,0,7
7,0.007265568,107,2,1,0,0,7
7,-0.006140828,114,1,1,0,0,7
7,0.016922235,114,1,1,0,0,7
7,0.007265568,114,2,1,0,0,7
7,-0.000609398,114,2,1,0,0,7
7,-0.006140828,139,1,1,0,0,7
7,-0.000609398,139,2,1,0,0,7
7,0.012140751,139,2,1,0,0,7
7,-0.003140688,139,2,1,0,0,7
7,-0.006140828,141,2,1,0,0,7
7,-0.000609398,141,2,1,0,0,7
7,-0.003140688,141,2,1,0,0,7
7,-0.008672118,141,2,1,0,0,7
7,-0.001265645,141,2,1,0,0,7
8,-0.006140828,105,1,1,0,0,7
8,-0.006140828,107,1,1,0,0,7
8,0.016922235,107,1,1,0,0,7
8,0.007171869,107,2,1,0,0,7
8,-0.006140828,114,1,1,0,0,7
8,0.016922235,114,1,1,0,0,7
8,0.007171869,114,2,1,0,0,7
8,-0.001078248,114,2,1,0,0,7
8,-0.006140828,139,1,1,0,0,7
8,-0.001078248,139,2,1,0,0,7
8,0.011765957,139,2,1,0,0,7
8,-0.003140688,139,2,1,0,0,7
8,-0.006140828,141,2,1,0,0,7
8,-0.001078248,141,2,1,0,0,7
8,-0.003140688,141,2,1,0,0,7
8,-0.008484364,141,2,1,0,0,7
8,-0.001265645,141,2,1,0,0,7
9,-0.006140828,105,1,1,0,0,7
9,-0.006140828,107,1,1,0,0,7
9,0.016828179,107,1,1,0,0,7
9,0.007171869,107,2,1,0,0,7
9,-0.006140828,114,1,1,0,0,7
9,0.016828179,114,1,1,0,0,7
9,0.007171869,114,2,1,0,0,7
9,-0.001359344,114,2,1,0,0,7
9,-0.006140828,139,1,1,0,0,7
9,-0.001359344,139,2,1,0,0,7
9,0.011578202,139,2,1,0,0,7
9,-0.003140688,139,2,1,0,0,7
9,-0.006140828,141,2,1,0,0,7
9,-0.001359344,141,2,1,0,0,7
9,-0.003140688,141,2,1,0,0,7
9,-0.008390665,141,2,1,0,0,7
9,-0.001171947,141,2,1,0,0,7
10,-0.006140828,105,1,1,0,0,7
10,-0.006140828,107,1,1,0,0,7
10,0.016828179,107,1,1,0,0,7
10,0.007078171,107,2,1,0,0,7
10,-0.006140828,114,1,1,0,0,7
10,0.016828179,114,1,1,0,0,7
10,0.007078171,114,2,1,0,0,7
10,-0.001547098,114,2,1,0,0,7
10,-0.006140828,139,1,1,0,0,7
10,-0.001547098,139,2,1,0,0,7
10,0.011297107,139,2,1,0,0,7
10,-0.003046989,139,2,1,0,0,7
10,-0.006140828,141,2,1,0,0,7
10,-0.001547098,141,2,1,0,0,7
10,-0.003046989,141,2,1,0,0,7
10,-0.008296967,141,2,1,0,0,7
10,-0.001078248,141,2,1,0,0,7
11,-0.006140828,105,1,0,1,0,7
11,-0.006140828,107,1,0,1,0,7
11,0.016828179,107,1,0,1,0,7
11,0.006984472,107,2,0,1,0,7
11,-0.006140828,114,1,0,1,0,7
11,0.016828179,114,1,0,1,0,7
11,0.006984472,114,2,0,1,0,7
11,-0.001640797,114,2,0,1,0,7
11,-0.006140828,139,1,0,1,0,7
11,-0.001640797,139,2,0,1,0,7
11,0.011109352,139,2,0,1,0,7
11,-0.002953291,139,2,0,1,0,7
11,-0.006140828,141,2,0,1,0,7
11,-0.001640797,141,2,0,1,0,7
11,-0.002953291,141,2,0,1,0,7
11,-0.008203268,141,2,0,1,0,7
11,-0.001078248,141,2,0,1,0,7
12,-0.006140828,105,1,0,1,0,7
12,-0.006140828,107,1,0,1,0,7
12,0.016828179,107,1,0,1,0,7
12,0.006890774,107,2,0,1,0,7
12,-0.006140828,114,1,0,1,0,7
12,0.016828179,114,1,0,1,0,7
12,0.006890774,114,2,0,1,0,7
12,-0.001640797,114,2,0,1,0,7
12,-0.006140828,139,1,0,1,0,7
12,-0.001640797,139,2,0,1,0,7
12,0.011015654,139,2,0,1,0,7
12,-0.002859592,139,2,0,1,0,7
12,-0.006140828,141,2,0,1,0,7
12,-0.001640797,141,2,0,1,0,7
12,-0.002859592,141,2,0,1,0,7
12,-0.00810957,141,2,0,1,0,7
12,-0.00098455,141,2,0,1,0,7
13,-0.006234527,105,1,0,1,0,7
13,-0.006234527,107,1,0,1,0,7
13,0.016828179,107,1,0,1,0,7
13,0.006797075,107,2,0,1,0,7
13,-0.006234527,114,1,0,1,0,7
13,0.016828179,114,1,0,1,0,7
13,0.006797075,114,2,0,1,0,7
13,-0.001734495,114,2,0,1,0,7
13,-0.006234527,139,1,0,1,0,7
13,-0.001734495,139,2,0,1,0,7
13,0.010828257,139,2,0,1,0,7
13,-0.002765536,139,2,0,1,0,7
13,-0.006234527,141,2,0,1,0,7
13,-0.001734495,141,2,0,1,0,7
13,-0.002765536,141,2,0,1,0,7
13,-0.008015871,141,2,0,1,0,7
13,-0.00098455,141,2,0,1,0,7
14,-0.006234527,105,1,0,1,0,7
14,-0.006234527,107,1,0,1,0,7
14,0.016734481,107,1,0,1,0,7
14,0.006609321,107,2,0,1,0,7
14,-0.006234527,114,1,0,1,0,7
14,0.016734481,114,1,0,1,0,7
14,0.006609321,114,2,0,1,0,7
14,-0.001734495,114,2,0,1,0,7
14,-0.006234527,139,1,0,1,0,7
14,-0.001734495,139,2,0,1,0,7
14,0.01064086,139,2,0,1,0,7
14,-0.002671838,139,2,0,1,0,7
14,-0.006234527,141,2,0,1,0,7
14,-0.001734495,141,2,0,1,0,7
14,-0.002671838,141,2,0,1,0,7
14,-0.007828116,141,2,0,1,0,7
14,-0.00098455,141,2,0,1,0,7
15,-0.006234527,105,1,0,1,0,7
15,-0.006234527,107,1,0,1,0,7
